순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"312","만화","빛과 그림자 그리기 사전","352425238","9791193712603","13650","조우노세 지음, 김재훈 옮김","한즈미디어(한스미디어)","20241119","25,000","22,500","1,250점","780","만화"
"313","만화","악역 영애는 익애 루트에 들어갔습니다?! 4","352754445","9791172888541","07830","사쿠마 렌 지음, 토우야 외 원작, 시오노 시오리 구성","대원씨아이(만화)","20241125","6,500","5,850","320점","700","만화"
"314","만화","던전밥 13","332513041","9791138481762","07830","쿠이 료코 지음, 김민재 옮김","㈜소미미디어","20240207","7,000","6,300","350점","21181","만화"
"315","만화","던전밥 1","73442355","9791157102730","07830","구이 료코 지음, 김완 옮김","㈜소미미디어","20151229","7,000","6,300","350점","14191","만화"
"316","만화","동경일일 3","341934453","9791141600761","07830","마츠모토 타이요 지음, 이주향 옮김","문학동네","20240621","11,000","9,900","550점","11504","만화"
"317","만화","괴수 8호 4","330067826","9791136755261","47830","마츠모토 나오야 지음, 유유리 옮김","서울미디어코믹스(서울문화사)","20211029","6,000","5,400","300점","10641","만화"
"318","만화","주술회전 23","323339691","9791136773272","","아쿠타미 게게 지음, 이정운 옮김","서울미디어코믹스(서울문화사)","20230831","6,000","5,400","300점","10399","만화"
"319","만화","주술회전 21","307634607","9791136758583","","아쿠타미 게게 지음, 이정운 옮김","서울미디어코믹스(서울문화사)","20221230","6,000","5,400","300점","10033","만화"
"320","만화","장송의 프리렌 12","342597187","9791141131623","","야마다 카네히토 지음, 아베 츠카사 그림, 서현아 옮김","학산문화사(만화)","20240725","6,000","5,400","300점","9487","만화"
"321","만화","나 홀로 도쿄 자취방 도감","344742746","9788993784831","07830","mame 지음, 권미량 옮김","인간희극","20240902","16,800","15,120","840점","8695","예술/대중문화"
"322","만화","괴수 8호 3","325860971","9791136755254","","마츠모토 나오야 지음, 유유리 옮김","서울미디어코믹스(서울문화사)","20210723","6,000","5,400","300점","8590","만화"
"323","만화","주술회전 22","316015391","9791136768735","","아쿠타미 게게 지음, 이정운 옮김","서울미디어코믹스(서울문화사)","20230531","6,000","5,400","300점","8512","만화"
"324","만화","쇼타 형아 2","303052281","9791136756879","","나카야마 미유키 지음, 심이슬 옮김","서울미디어코믹스(서울문화사)","20221028","6,500","5,850","320점","5192","만화"
"325","만화","전생했더니 슬라임이었던 건에 대하여 26","348980442","9791138484466","07830","카와카미 타이키 지음, 밋츠바 그림, 이소정 옮김, 후세 원작","㈜소미미디어","20241011","6,000","5,400","300점","4550","만화"
"326","만화","메카니컬 버디 유니버스","337104832","9791138482516","07830","카토 타쿠지 지음, 박경용 옮김","㈜소미미디어","20240409","8,000","7,200","400점","3463","만화"
"327","만화","상디의 해적 레시피","113926929","9791133455461","0","상디 지음","대원씨아이(만화)","20170725","16,000","14,400","800점","3068","만화"
"328","만화","얼굴만으론 좋아할 수 없어요 10","342916553","9791136788764","","안자이 카린 지음, 이소연 옮김","서울미디어코믹스(서울문화사)","20240712","6,000","5,400","300점","2960","만화"
"329","만화","푸른 상자 1","295076007","9791168761940","","미우라 코우지 지음","학산문화사(만화)","20220523","6,000","5,400","300점","2796","만화"
"330","만화","달님이 바라시는 대로 7","351832261","9791136794475","47830","키우치 라무네 지음, 박소현 옮김","서울미디어코믹스(서울문화사)","20241108","6,000","5,400","300점","2170","만화"
"331","만화","아빠는 요리사 167","351449924","9791141138530","07650","우에야마 토치 지음","학산문화사(만화)","20241105","6,000","5,400","300점","1810","만화"
"332","만화","나와 로보코 13","352318170","9791138484695","07830","미야자키 슈헤이 지음, 박연지 옮김","㈜소미미디어","20241120","6,000","5,400","300점","1720","만화"
"333","만화","크다! 힘내라 동기짱 3","349822462","9791172883201","07830","요무 지음","대원씨아이(만화)","20241017","18,000","16,200","900점","1685","만화"
"334","만화","못 미더운 악녀입니다만 : ~추궁접서 교체전~ 7","352375450","9791136795366","04830","EI Ohitsuji 지음, 유키무라 카나 그림, 김수연 옮김, Satsuki Nakamu","서울미디어코믹스(서울문화사)","20241115","7,000","6,300","350점","1360","만화"
"335","만화","소년음양사 1","352586094","9791127878535","07830","소라쿠라 시키지 지음, 심이슬 옮김, 유키 미츠루 원작","HUSH(허쉬)","20241119","6,000","5,400","300점","680","만화"
"336","만화","마녀 메이드는 여왕의 비밀을 알고 있다. 1","352658317","9791172888510","07830","토야마 에마 지음","대원씨아이(만화)","20241121","6,000","5,400","300점","660","만화"
"337","만화","원피스 106","324748700","9791171240616","","오다 에이치로 지음","대원씨아이(만화)","20230925","5,500","4,950","270점","27175","만화"
"338","만화","슬램덩크 신장재편판 1","160820597","9791133487516","07830","이노우에 타케히코 지음","대원씨아이(만화)","20180823","7,000","6,300","350점","22550","만화"
"339","만화","슬램덩크 신장재편판 2","160820661","9791133487523","07830","이노우에 타케히코 지음","대원씨아이(만화)","20180822","6,500","5,850","320점","22151","만화"
"340","만화","원피스 105","316987590","9791170620228","07830","오다 에이치로 지음","대원씨아이(만화)","20230530","5,500","4,950","270점","22099","만화"
"341","만화","슬램덩크 신장재편판 5","160820790","9791133487554","07830","이노우에 타케히코 지음","대원씨아이(만화)","20180822","7,000","6,300","350점","20968","만화"
"342","만화","슬램덩크 신장재편판 6","160821395","9791133487561","07830","이노우에 타케히코 지음","대원씨아이(만화)","20180822","7,000","6,300","350점","20412","만화"
"343","만화","로봇 드림","335848856","9791130651309","07840","사라 바론 지음","놀","20240327","19,800","17,820","990점","20402","만화"
"344","만화","가라오케 가자!","292511593","9788954685696","07830","와야마 야마 지음, 현승희 옮김","문학동네","20220414","8,500","7,650","420점","19687","만화"
"345","만화","스파이 패밀리 12","329221613","9791141118921","","엔도 타츠야 지음","학산문화사(만화)","20231127","6,000","5,400","300점","18231","만화"
"346","만화","흑무경담 1","345982331","9791138484275","07830","토가와 요난 지음, 김지혜 옮김","㈜소미미디어","20240913","6,000","5,400","300점","15745","만화"
"347","만화","던전밥 12","305566488","9791138434843","07830","쿠이 료코 지음, 김민재 옮김","㈜소미미디어","20221209","7,000","6,300","350점","14521","만화"
"348","만화","나 혼자만 레벨업 11","339215933","9791193821206","07810","장성락(REDICE STUDIO) 지음, 추공 원작, 현군 각색","디앤씨웹툰비즈","20240604","16,000","14,400","800점","13969","만화"
"349","만화","던전밥 11","287569607","9791138406833","07830","쿠이 료코 지음, 김민재 옮김","㈜소미미디어","20220211","7,000","6,300","350점","13206","만화"
"350","만화","던전밥 2","78029198","9791157103201","07830","구이 료코 지음, 김완 옮김","㈜소미미디어","20160222","7,000","6,300","350점","13085","만화"
"351","만화","던전밥 10","277095223","9791138400978","
07830","쿠이 료코 지음, 김민재 옮김","㈜소미미디어","20210816","7,000","6,300","350점","12575","만화"
"352","만화","히카루가 죽은 여름 4","342856068","9791127876579","07830","모쿠모쿠렌 지음, 송재희 옮김","디앤씨미디어(주)(D&C미디어)","20240720","6,000","5,400","300점","11168","만화"
"353","만화","블루 아카이브 코믹 앤솔로지 VOL.4","346449797","9791127877576","07830","NEXON GAMES 지음, 김덕진 옮김","디앤씨미디어(주)(D&C미디어)","20240910","9,000","8,100","450점","10195","만화"
"354","만화","진격의 거인 후회없는 선택 1~2 세트 - 전2권 (완결)","94364437","9791125603429","07650","스루가 히카루 지음, 이사야마 하지메","학산문화사(만화)","20161012","7,200","6,480","360점","9996","만화"
"355","만화","괴수 8호 1","318700246","9791136755230","","마츠모토 나오야 지음, 유유리 옮김","서울미디어코믹스(서울문화사)","20210129","6,000","5,400","300점","9916","만화"
"356","만화","주술회전 20","303424817","9791136757296","","아쿠타미 게게 지음, 이정운 옮김","서울미디어코믹스(서울문화사)","20221026","6,000","5,400","300점","9914","만화"
"357","만화","아름다운 초저녁달 7","342596427","9791141124489","","야마모리 미카 지음","학산문화사(만화)","20240716","6,000","5,400","300점","8641","만화"
