순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"111","고전","도덕경 (무삭제 완역본)","176651727","9791187142676","03150","노자 지음, 소준섭 옮김","현대지성","20190102","12,000","10,800","600점","7902","인문학"
"112","고전","브론테 자매 스페셜 박스 세트 - 전2권","342067410","9788932924410","04840","샬럿 브론테.에밀리 브론테 지음, 이미선 외 옮김","열린책들","20240625","39,400","35,460","1,970점","7397","소설/시/희곡"
"113","고전","지하로부터의 수기","6552562","9788937462399","04800","표도르 도스토예프스키 지음, 김연경 옮김","민음사","20100226","9,000","8,100","450점","7060","소설/시/희곡"
"114","고전","베니스의 상인","8579428","9788937462627","04800","윌리엄 셰익스피어 지음, 최종철 옮김","민음사","20101228","9,000","8,100","450점","6354","소설/시/희곡"
"115","고전","분노의 포도 2","1983005","9788937461750","04800","존 스타인벡 지음, 김승욱 옮김","민음사","20080324","13,000","11,700","650점","6004","소설/시/희곡"
"116","고전","동물농장","237277704","9791157955206","03840","조지 오웰 지음, 신동운 옮김","스타북스","20200408","7,700","6,930","380점","5964","소설/시/희곡"
"117","고전","순수의 시대","2394532","9788937461835","04800","이디스 워튼 지음, 송은주 옮김","민음사","20080718","14,000","12,600","700점","5851","소설/시/희곡"
"118","고전","국부론 (국내 유일 단권 완역본)","331482604","9791139716474","03320","애덤 스미스 지음, 이종인 옮김","현대지성","20240108","33,000","29,700","1,650점","5397","경제경영"
"119","고전","도리언 그레이의 초상 1890","293973701","9788937429859","04800","오스카 와일드 지음, 임슬애 옮김","민음사","20220429","11,800","10,620","590점","5055","소설/시/희곡"
"120","고전","야성의 부름","8161798","9788937426926","04800","잭 런던 지음, 권택영 옮김","민음사","20101022","8,500","7,650","420점","4924","소설/시/희곡"
"121","고전","영혼의 자서전 -상","5873578","9788932909523","03890","니코스 카잔차키스 지음, 안정효 옮김","열린책들","20091130","15,800","14,220","790점","3226","소설/시/희곡"
"122","고전","변신","341942827","9791197951619","","프란츠 카프카 지음, 랭브릿지 옮김","리프레시","20240712","9,800","8,820","490점","3028","소설/시/희곡"
"123","고전","수 - 영원해!","350563984","9791197235696","03840","에밀리 디킨슨 지음, 박혜란 옮김","파시클","20241118","16,700","15,030","830점","2485","소설/시/희곡"
"124","고전","초판본 크리스마스 캐럴","257259919","9791164453986","03840","찰스 디킨스 지음, 황금진 옮김","더스토리","20201219","12,800","11,520","640점","2316","소설/시/희곡"
"125","고전","평화의 경제적 결과","352734604","9791170872757","03340","존 메이너드 케인스 지음, 박만섭 옮김","휴머니스트","20241125","21,000","18,900","1,050점","570","사회과학"
"126","고전","강의","528624","9788971992029","03820","신영복 지음","돌베개","20041213","18,000","16,200","900점","28998","인문학"
"127","고전","파리대왕","344077","9788937460197","04840","윌리엄 골딩 지음, 유종호 옮김","민음사","20020325","13,000","11,700","650점","23957","소설/시/희곡"
"128","고전","햄릿","168036","9788937460036","04800","윌리엄 세익스피어 지음, 최종철 옮김","민음사","19980805","7,000","6,300","350점","18795","소설/시/희곡"
"129","고전","백년의 고독 1","217600","9788937460340","04800","가브리엘 가르시아 마르케스 지음, 조구호 옮김","민음사","19991004","10,000","9,000","500점","13134","소설/시/희곡"
"130","고전","이반 데니소비치, 수용소의 하루","116783","9788937460135","04890","알렉산드르 솔제니친 지음, 이영의 옮김","민음사","19980930","8,000","7,200","400점","12570","소설/시/희곡"
"131","고전","구운몽","398093","9788937460722","04810","김만중 지음, 송성욱 옮김","민음사","20030125","8,000","7,200","400점","10950","소설/시/희곡"
"132","고전","네루다의 우편배달부","503644","9788937461040","04870","안토니오 스카르메타 지음, 우석균 옮김","민음사","20040705","8,000","7,200","400점","9968","소설/시/희곡"
"133","고전","오이디푸스 왕","4478861","9788937462177","04800","소포클레스 지음, 강대진 옮김","민음사","20090821","11,000","9,900","550점","8892","소설/시/희곡"
"134","고전","한국단편문학선 1","203381","9788937460104","04810","김동인 외 지음, 이남호 엮음","민음사","19980805","12,000","10,800","600점","8382","소설/시/희곡"
"135","고전","비극의 탄생","988511","9788957331071","94160","프리드리히 니체 지음, 박찬국 옮김","아카넷","20070910","18,000","17,100","900점","6650","인문학"
"136","고전","코너스톤 셜록 홈즈 전집 세트 - 전9권","37596846","9791185546117","04840","아서 코난 도일 지음, 바른번역 옮김, 박광규 감수","코너스톤","20160101","22,000","19,800","1,100점","6154","소설/시/희곡"
"137","고전","최초의 소설 시누헤 이야기","338757721","9791170871514","03930","유성환 옮김","휴머니스트","20240520","24,000","21,600","1,200점","5347","인문학"
"138","고전","오만과 편견","100650732","9788952777133","04840","제인 오스틴 지음, 고정아 옮김","시공사","20161027","18,500","16,650","920점","5184","소설/시/희곡"
"139","고전","악의 꽃","326541342","9791191859607","03860","샤를 피에르 보들레르 지음, 황현산 옮김","난다","20231016","18,000","16,200","900점","4974","소설/시/희곡"
"140","고전","고백록","90820893","9788944724084","04230","성 아우구스티누스 지음, 박문재 옮김","CH북스(크리스천다이제스트)","20160905","18,000","16,200","900점","4740","종교/역학"
"141","고전","철학의 위안","147121964","9791187142430","03100","보에티우스 지음, 박문재 옮김","현대지성","20180601","16,900","15,210","840점","3663","인문학"
"142","고전","돈키호테 1","59955775","9788952773548","04870","미겔 데 세르반테스 지음, 박철 옮김","시공사","20150529","25,000","22,500","1,250점","3352","소설/시/희곡"
"143","고전","카라마조프 씨네 형제들 1 (모노 에디션, 알라딘 특별판)","346139367","9788932924632","04890","표도르 도스토옙스키 지음, 이대우 옮김","열린책들","20240925","8,800","7,920","440점","3005","소설/시/희곡"
"144","고전","초판본 변신 (미니북)","324231867","9791164457946","00850","프란츠 카프카 지음, 한영란 옮김","더스토리","20230831","3,900","3,510","190점","2947","소설/시/희곡"
"145","고전","변신·단식 광대","340098635","9791141600709","04850","프란츠 카프카 지음, 이재황 옮김","문학동네","20240524","12,000","10,800","600점","2810","소설/시/희곡"
"146","고전","잃어버린 시간을 찾아서 7~13 세트 - 전7권","303734976","9788937456107","04860","마르셀 프루스트 지음, 김희영 옮김","민음사","20221118","89,000","80,100","4,450점","2755","소설/시/희곡"
"147","고전","안나 카레니나 3 (모노 에디션)","337250164","9788932923987","04890","레프 니콜라예비치 톨스토이 지음, 이명현 옮김","열린책들","20240405","8,800","7,920","440점","2417","소설/시/희곡"
"148","고전","초판본 자기만의 방 (양장)","114440167","9791159036569","03840","버지니아 울프 지음, 박혜원 옮김","더스토리","20170730","9,800","8,820","490점","1752","에세이"
"149","고전","야간 비행 (초판본 리커버 고급 벨벳 양장본)","339961014","9791190669610","03860","앙투안 드 생텍쥐페리 지음, 김보희 옮김, 변광배 해설","코너스톤","20240527","10,000","9,000","500점","1559","소설/시/희곡"
"150","고전","캐치-22 1","283742301","9788937461866","04800","조지프 헬러 지음, 안정효 옮김","민음사","20211119","14,000","12,600","700점","1179","소설/시/희곡"
"151","고전","마흔, 노자를 쓰는 시간 : 하루 한 장 비움과 고요함으로 나를 다스리는 노자 필사","347744415","9788961474610","03140","헤르메스 엮음, 이용주 감수","이학사","20241004","19,800","17,820","990점","1000","인문학"
"152","고전","셰익스피어 글방","341956297","9788937456930","04800","어니스트 헤밍웨이 지음, 정다은 그림, 안정효 옮김","민음사","20240624","22,000","19,800","1,100점","965","소설/시/희곡"
"153","고전","햄릿","283471909","9788974115401","03840","윌리엄 셰익스피어 지음, 강태경 옮김","새문사","20211117","13,000","13,000","0점","885","소설/시/희곡"
"154","고전","위대한 개츠비 (무선)","5966596","9788954609173","04840","F. 스콧 피츠제럴드 지음, 김영하 옮김","문학동네","20091215","9,500","8,550","470점","15891","소설/시/희곡"
"155","고전","데미안 (무선)","21742142","9788954620147","04850","헤르만 헤세 지음, 안인희 옮김","문학동네","20130101","8,000","7,200","400점","15835","소설/시/희곡"
"156","고전","일리아스","877643","9788991290167","93890","호메로스 지음, 천병희 옮김","도서출판 숲","20150620","38,000","34,200","1,900점","13595","인문학"
"157","고전","살아갈 날들을 위한 공부","1000810","9788992378093","03890","레프 니콜라예비치 톨스토이 지음, 이상원 옮김","위즈덤하우스","20071030","13,800","12,420","690점","13341","에세이"
"158","고전","펠로폰네소스 전쟁사","11997977","9788991290402","93900","투퀴디데스 지음, 천병희 옮김","도서출판 숲","20110630","43,000","38,700","2,150점","10973","역사"
"159","고전","호밀밭의 파수꾼","172123","9788931003529","03840","J. D. 샐린저 지음, 이덕형 옮김","문예출판사","19980810","10,000","9,000","500점","10565","소설/시/희곡"
"160","고전","노인과 바다 (무선)","14600993","9788954617291","04840","어니스트 헤밍웨이 지음, 이인규 옮김","문학동네","20120120","8,000","7,200","400점","10255","소설/시/희곡"
"161","고전","인형의 집","7333800","9788937462481","04800","헨릭 입센 지음, 안미란 옮김","민음사","20100630","8,000","7,200","400점","9956","소설/시/희곡"
"162","고전","맥베스","476678","9788937460999","04840","윌리엄 셰익스피어 지음, 최종철 옮김","민음사","20040315","7,000","6,300","350점","9911","소설/시/희곡"
"163","고전","세일즈맨의 죽음","4567207","9788937462184","04800","아서 밀러 지음, 강유나 옮김","민음사","20090831","9,000","8,100","450점","9399","소설/시/희곡"
"164","고전","빨간 머리 앤","2620949","9788992632201","03810","루시 M. 몽고메리 지음, 김양미 옮김, 김지혁 그림","인디고(글담)","20081010","14,800","13,320","740점","8973","소설/시/희곡"
"165","고전","천로역정 (완역판, 반양장)","65135081","9788944724152","04230","존 번연 지음, 유성덕 옮김, 루이스 레드 형제 그림","CH북스(크리스천다이제스트)","20150820","16,800","15,120","840점","8535","종교/역학"
"166","고전","순수이성비판 1","669748","9788957330838","94160","임마누엘 칸트 지음, 백종현 옮김","아카넷","20060625","28,000","26,600","840점","7509","인문학"
"167","고전","역사","3282955","9788991290266","93900","헤로도토스 지음, 천병희 옮김","도서출판 숲","20090210","47,000","42,300","2,350점","7434","역사"
"168","고전","일리아스","316563045","9788957338568","93890","호메로스 지음, 이준석 옮김","아카넷","20230620","35,000","33,250","1,750점","7373","인문학"
"169","고전","차라투스트라는 이렇게 말했다","246222","9788970132099","04160","프리드리히 니체","책세상","20151210","20,000","18,000","1,000점","7371","인문학"
"170","고전","대지","413101","9788931004151","03840","펄 벅 지음, 안정효 옮김","문예출판사","20030501","12,000","10,800","600점","6987","소설/시/희곡"
"171","고전","아리스토텔레스 시학 (그리스어 원전 완역본)","265596201","9791166812453","03890","아리스토텔레스 지음, 박문재 옮김","현대지성","20210303","6,600","5,940","330점","6843","인문학"
"172","고전","에드거 앨런 포 단편선","23740782","9788937463082","04800","에드거 앨런 포 지음, 전승희 옮김","민음사","20130212","11,500","10,350","570점","6521","소설/시/희곡"
"173","고전","결혼·여름","338972915","9791159317828","04860","알베르 카뮈 지음, 김화영 옮김","책세상","20240605","10,800","9,720","540점","6327","에세이"
"174","고전","싯다르타","177169152","9788954654418","04850","헤르만 헤세 지음, 권혁준 옮김","문학동네","20181228","9,000","8,100","450점","5953","소설/시/희곡"
"175","고전","외투","112893502","9788937429156","04800","니콜라이 바실리예비치 고골리 지음, 조주관 옮김","민음사","20170630","8,800","7,920","440점","5820","소설/시/희곡"
"176","고전","깊은 강","1003331","9788937461606","04800","엔도 슈사쿠 지음, 유숙자 옮김","민음사","20071030","12,000","10,800","600점","5678","소설/시/희곡"
"177","고전","슬픈 열대","189780","9788935651740","94380","클로드 레비-스트로스 지음, 박옥줄 옮김","한길사","19980630","37,000","33,300","1,850점","5645","인문학"
"178","고전","야간비행","152844949","9788954651868","04860","앙투안 드 생텍쥐페리 지음, 용경식 옮김","문학동네","20180629","10,000","9,000","500점","5495","소설/시/희곡"
"179","고전","크눌프","528044","9788937461118","04800","헤르만 헤세 지음, 이노은 옮김","민음사","20041120","9,000","8,100","450점","5368","소설/시/희곡"
"180","고전","오뒷세이아","324441050","9788957338865","93890","호메로스 지음, 이준석 옮김","아카넷","20231016","32,000","30,400","1,600점","5361","인문학"
"181","고전","구토","260073532","9788931021516","03860","장 폴 사르트르 지음, 임호경 옮김","문예출판사","20201231","13,000","11,700","650점","5316","소설/시/희곡"
"182","고전","이반 일리치의 죽음 (러시아어 원전 번역본)","313267378","9791139710793","03890","레프 니콜라예비치 톨스토이 지음, 윤우섭 옮김","현대지성","20230324","7,700","6,930","380점","5181","소설/시/희곡"
"183","고전","바르게 살지 마라 무섭도록 현명하게 살아라","339495560","9791193128152","03160","발타사르 그라시안 지음, 김종희 옮김","빅피시","20240516","16,800","15,120","840점","4785","자기계발"
"184","고전","내가 죽어 누워 있을 때","423594","9788937460814","04840","윌리엄 포크너 지음, 김명주 옮김","민음사","20030715","11,000","9,900","550점","4615","소설/시/희곡"
"185","고전","미들마치 1","331983464","9788937464362","","조지 엘리엇 지음, 이미애 옮김","민음사","20240115","18,000","16,200","900점","4235","소설/시/희곡"
"186","고전","낯선 여인의 키스","341660594","9791198375322","03890","안톤 파블로비치 체호프 지음, 승주연 옮김","녹색광선","20240624","22,000","19,800","1,100점","4055","소설/시/희곡"
"187","고전","햄릿","8529889","9788932911540","03840","윌리엄 셰익스피어 지음, 박우수 옮김","열린책들","20101225","8,800","7,920","440점","3770","소설/시/희곡"
"188","고전","이선 프롬","249326516","9788937463679","04800","이디스 워튼 지음, 김욱동 옮김","민음사","20200814","11,000","9,900","550점","3247","소설/시/희곡"
"189","고전","한문 독해 첫걸음","322817333","9788960519183","03700","정춘수 지음","부키","20230821","19,000","17,100","950점","2985","인문학"
"190","고전","원본 초한지 1~3 세트 (전3권 + 가이드북)","181580254","9788954654913","04910","견위 지음, 김영문 옮김","교유서가","20190218","54,000","48,600","2,700점","2931","역사"
