순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"409","인문학","불안할 땐 뇌과학","323092841","9791139715989","03400","캐서린 피트먼.엘리자베스 칼 지음, 이종인 옮김","현대지성","20230901","18,000","16,200","900점","5225","인문학"
"410","인문학","추리소설로 철학하기","331081388","9791191029918","03100","백휴 지음","나비클럽","20240131","27,000","24,300","1,350점","5013","인문학"
"411","인문학","실패의 기술과 퀴어 예술","339889776","9788965643005","03300","잭 핼버스탬 지음, 허원 옮김","현실문화","20240524","28,000","25,200","1,400점","5012","사회과학"
"412","인문학","어른의 문해력","294987720","9788968333767","03800","김선영 지음","블랙피쉬","20220519","14,000","12,600","700점","4897","인문학"
"413","인문학","지금을 살지 못하는 당신에게","326109287","9791168128101","03100","이지훈 지음","위즈덤하우스","20231011","18,800","16,920","940점","4754","인문학"
"414","인문학","그 사람은 왜 사과하지 않을까","328225192","9791190416054","03180","윤서람 지음","봄에","20231108","17,000","15,300","850점","4649","인문학"
"415","인문학","호모 데우스 (양장 특별판)","308631549","9788934950318","03900","유발 하라리 지음, 김명주 옮김","김영사","20230127","30,000","27,000","1,500점","4400","인문학"
"416","인문학","에로티즘","4567328","9788937416248","94160","조르주 바타유 지음, 조한경 옮김","민음사","20090904","20,000","18,000","1,000점","4366","인문학"
"417","인문학","중간사 수업","339534841","9791192794440","03190","박양규 지음","샘솟는기쁨","20240521","19,800","17,820","990점","3875","인문학"
"418","인문학","가자란 무엇인가","347967372","9791190186414","03300","오카 마리 지음, 김상운 옮김","두번째테제","20240920","18,000","16,200","900점","3760","인문학"
"419","인문학","섀도 워크 저널","343519100","9791172540111","03190","카일라 샤힌 지음, 제효영 옮김","푸른숲","20240722","18,800","16,920","940점","3711","자기계발"
"420","인문학","어떤 일은 그냥 벌어진다","347954419","9788901287171","03190","브라이언 클라스 지음, 김문주 옮김","웅진지식하우스","20240927","18,500","16,650","920점","3705","인문학"
"421","인문학","나의 문화유산답사기 : 제주편 (감귤 에디션)","276090726","9788936478766","03810","유홍준 지음","창비","20210726","20,000","18,000","1,000점","3470","인문학"
"422","인문학","부모와 함께하는 자폐스펙트럼장애 청소년 사회기술훈련 (PEERS®)","31811340","9788968660542","93180","Elizabeth A. Laugeson.프레드 프랭클 지음, 유희정 외 옮김","시그마프레스","20131001","20,000","20,000","0점","3243","대학교재/전문서적"
"423","인문학","잉아의 순우리말 그림 사전","350050956","9791193344088","02710","이인아 지음","쥬쥬베북스","20241120","20,500","18,450","1,020점","3190","인문학"
"424","인문학","파스칼 인생공부","347046439","9791186151716","03160","김태현 지음, 블레즈 파스칼 원작","PASCAL","20241001","17,500","15,750","870점","3155","인문학"
"425","인문학","일터의 소로","345905206","9791172540227","03100","존 캐그.조너선 반 벨 지음, 이다희 옮김","푸른숲","20240828","19,800","17,820","990점","3000","인문학"
"426","인문학","슬쩍 보는 헌법","349365818","9791198808509","03300","심독토 북클럽 지음","백북하우스","20241021","13,000","11,700","650점","2995","인문학"
