순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"329","요리/살림","베케, 일곱 계절을 품은 아홉 정원","284603910","9791188806249","03520","김봉찬.고설.신준호 지음","목수책방","20211215","25,000","22,500","1,250점","1432","요리/살림"
"330","요리/살림","도카이 에리카의 배색무늬 니트 손뜨개","286840124","9791188554546","13590","도카이 에리카 지음, 김한나 옮김, 김수산나 감수","지금이책","20220120","15,000","13,500","750점","1430","건강/취미"
"331","요리/살림","야생화 자수","17198316","9788993195828","13590","김종희 지음","팜파스","20120615","18,000","16,200","900점","1398","건강/취미"
"332","요리/살림","피카파우 동물친구들 3","328822025","9791188601585","13630","얀 쉔켈 지음, 조진경 옮김, 박상숙 감수","참돌","20231215","22,000","19,800","1,100점","1396","건강/취미"
"333","요리/살림","종이접기 DOUBLE","300304759","9788997772407","","김진우 외 지음","한국종이접기협회","20220823","24,000","24,000","0점","1385","건강/취미"
"334","요리/살림","성공 확률 100% 초간단 하이엔드 레시피 공격수셰프의 킥","321753490","9791190900737","03590","박민혁 지음","ingbooks(아이엔지북스)","20230731","28,000","25,200","1,400점","1357","요리/살림"
"335","요리/살림","좋아하는 곳에 살고 있나요?","295357006","9791160808346","13590","최고요 지음","휴머니스트","20220614","19,800","17,820","990점","1350","요리/살림"
"336","요리/살림","베이킹 마니아 레슨","231320265","9791188364183","14590","타케다 카오루 지음, 권효정 옮김","유나","20200222","20,000","18,000","1,000점","1323","요리/살림"
"337","요리/살림","케이블루의 동화 같은 프랑스 자수","67521062","9791170260455","13590","김소영 지음","팜파스","20151012","15,800","14,220","790점","1309","건강/취미"
"338","요리/살림","도카이 에리카의 컬러 워크","326357721","9791188554744","13590","도카이 에리카 지음, 김한나 옮김, 김수산나 감수","지금이책","20231020","16,800","15,120","840점","1302","건강/취미"
"339","요리/살림","오트밀 비건 베이킹","327499327","9791191994209","13590","주선화 지음","용감한까치","20231026","28,000","25,200","1,400점","1297","요리/살림"
"340","요리/살림","뜨개 옷장","309336644","9791197230271","13590","나스 사나에 지음, 제리 옮김","오롯한날","20230131","14,000","12,600","700점","1290","건강/취미"
"341","요리/살림","대바늘로 즐겁게 만드는 나의 손뜨개 인형","250137140","9791188601417","13630","루이즈 크라우더 지음, 문소영 옮김, 조수연 감수","참돌","20200826","5,500","4,950","270점","1259","건강/취미"
"342","요리/살림","도쿄대 수재들의 리얼 종이접기","283508597","9791186706121","13630","오리스트 지음, 이진원 옮김, 오경란 감수","에밀","20211124","14,000","12,600","700점","1242","건강/취미"
"343","요리/살림","비건 베이킹 마스터 클래스","310514269","9791160078961","13590","김율리 지음","한즈미디어(한스미디어)","20230217","32,000","28,800","1,600점","1225","요리/살림"
"344","요리/살림","마노의 인형 한복 만들기","306796867","9788969525284","13630","신원선.박성 지음","경향BP","20221221","22,000","19,800","1,100점","1213","건강/취미"
"345","요리/살림","사랑스러운 배색 무늬 손뜨개 양말","334219386","9791188554775","13590","샬럿 스톤 지음, 이순선 옮김","지금이책","20240229","22,000","19,800","1,100점","1211","건강/취미"
"346","요리/살림","암 치료에 꼭 필요한 암 식단 가이드 2","333977125","9788978497039","13510","연세암병원.세브란스병원 영양팀.CJ프레시웨이 지음","삼호미디어","20240226","30,000","27,000","1,500점","1167","건강/취미"
"347","요리/살림","미니 왕국 친구들","296776229","9791188601523","13630","올카 노비츠카 지음, 이소윤 옮김","참돌","20220625","5,500","4,950","270점","1157","건강/취미"
"348","요리/살림","대만차(臺灣茶)의 이해","266285855","9791185926612","13590","왕명상 지음, 한국티소믈리에연구원 옮김, 정승호 감수","한국티소믈리에연구원","20210320","25,000","22,500","1,250점","1152","요리/살림"
"349","요리/살림","브랜뉴 샌드위치","340824037","9791168622517","13590","시바타쇼텐 엮음, 조수연 옮김","시그마북스","20240619","25,000","22,500","1,250점","1136","요리/살림"
"350","요리/살림","고기굽기의 기술","169725500","9788971906644","13590","가와테 히로야스 지음, 용동희 옮김","그린쿡","20181010","23,000","20,700","1,150점","1116","요리/살림"
"351","요리/살림","실을 끊지 않는 코바늘 연속 모티브 패턴집","111559594","9791160071481","13590","일본 보그사 지음, 강수현 옮김","한즈미디어(한스미디어)","20170615","18,000","16,200","900점","1105","건강/취미"
"352","요리/살림","페이퍼후추의 사각사각 ASMR 종이 놀이","334776553","9791192987880","13630","페이퍼후추(우정미) 지음","제이펍","20240305","19,800","17,820","990점","1095","건강/취미"
"353","요리/살림","이야기가 있는 달보라의 인형옷 패턴북","236292157","9791196922306","13630","김유란 지음","달보라북스","20200310","28,000","25,200","1,400점","1095","건강/취미"
"354","요리/살림","전통자수","235983862","9791170263265","13590","조희화 지음","팜파스","20200325","20,000","18,000","1,000점","1083","건강/취미"
"355","요리/살림","이렇게 맛있는 브리오슈","289611667","9791186519509","13590","장 마리 라니오.제레미 볼레스터 지음","비앤씨월드","20220303","20,000","18,000","1,000점","1081","요리/살림"
"356","요리/살림","쉽게 배우는 지퍼 책","110430799","9791160071399","13590","일본 보그사 지음, 남궁가윤 옮김","한즈미디어(한스미디어)","20170530","13,000","11,700","650점","1069","건강/취미"
"357","요리/살림","느긋하고 자유롭게 킨츠기 홈 클래스","300713055","9791168230156","13630","호리 미치히로 지음, 서하나 옮김","안그라픽스","20220831","18,000","16,200","900점","1061","예술/대중문화"
"358","요리/살림","레몬과 식초로 맛을 낸 간단 건강 요리","343117573","9791191739121","13590","후지이 메구미 지음, 백현숙 옮김","팬앤펜(PAN n PEN)","20240722","17,000","15,300","850점","1056","요리/살림"
"359","요리/살림","향신료 매트릭스","343166885","9791168622685","13590","히누마 노리코 지음, 황세정 옮김","시그마북스","20240801","35,000","31,500","1,750점","1051","요리/살림"
"360","요리/살림","한입에 브런치","96336597","9788969930132","14590","박건영 외 지음","수작걸다","20161111","8,800","7,920","440점","1050","요리/살림"
"361","요리/살림","커피 세계사 + 한국 가배사","277669559","9791156122012","03900","이길상 지음","푸른역사","20210819","20,000","18,000","1,000점","1045","역사"
"362","요리/살림","감 매거진 (GARM Magazine) 11 조명","187131529","9791189485078","","감씨 편집팀 지음","감씨(garmSSI)","20190320","18,000","16,200","900점","1027","건강/취미"
"363","요리/살림","레이첼의 장미 모티브 손뜨개 소품 31","126282396","9791170261896","13590","양선영 지음","팜파스","20180105","16,800","15,120","840점","1027","건강/취미"
"364","요리/살림","니트로 스타일링하는 사계절 인형옷","284334068","9791191602180","13590","공은경.정영경.최현진 지음","황금시간","20211220","20,000","18,000","1,000점","1024","건강/취미"
"365","요리/살림","레이스 손뜨개 아름다운 꽃 도일리","313379192","9791191443158","13630","일본보그사 지음","북핀","20230405","17,000","15,300","850점","1009","건강/취미"
"366","요리/살림","초간단 밥솥 이유식","246835227","9791163860464","13590","이지영 지음, 신민정 감수","예문아카이브","20200610","19,800","17,820","990점","1004","요리/살림"
"367","요리/살림","노마 발효 가이드","221107766","9791160074468","13590","레네 레제피.데이비드 질버 지음, 정연주 옮김","한즈미디어(한스미디어)","20191209","45,000","40,500","2,250점","995","요리/살림"
"368","요리/살림","재봉틀로 쉽게 만드는 80 의상 패턴 대백과 (완전판)","338619433","9791193712290","13590","노나카 게이코 지음, 스기야마 요코 그림, 이은정 외 옮김","한즈미디어(한스미디어)","20240430","35,000","31,500","1,750점","981","건강/취미"
"369","요리/살림","베이크의 비건 베이킹","293508138","9791165219598","13590","백승도 지음","길벗","20220503","20,000","18,000","1,000점","980","요리/살림"
"370","요리/살림","전쟁은 일본인의 밥상을 어떻게 바꿨나","343622546","9791159059063","03380","사이토 미나코 지음, 손지연 옮김","소명출판","20240731","17,000","15,300","850점","973","역사"
"371","요리/살림","김치 수업","280600609","9791167820310","","배명자 지음","상상출판","20211011","16,500","14,850","820점","966","요리/살림"
"372","요리/살림","반찬 없이도 테이블이 완벽해지는 솥밥","214416346","9791160509618","13590","킴스쿠킹 지음","길벗","20191028","17,000","15,300","850점","951","요리/살림"
"373","요리/살림","방이 더 깨끗해졌어요!","244879451","9791187113423","17590","와타나베 폰 지음, 송수영 옮김","이아소","20200715","13,000","11,700","650점","950","요리/살림"
"374","요리/살림","우리술 익스프레스","297624207","9788954799843","13590","탁재형 지음","EBS BOOKS","20220715","16,500","14,850","820점","932","요리/살림"
"375","요리/살림","인테리어 셀프 실전 교과서","336881349","9788964946893","13590","점효 지음, 신병민 감수","보누스","20240325","19,000","17,100","950점","916","요리/살림"
