순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"620","국내도서","너와 우주를 걷기 위하여 1","352185425","9791141138073","07650","도로노다 이누히코 지음","학산문화사(만화)","20241112","6,000","5,400","300점","4870","만화"
"621","국내도서","최재천의 동물대탐험 7 : 무왕가 할머니의 장례식","352204433","9791130659091","74470","최재천 기획, 박현미 그림, 황혜영 글, 안선영 해설","다산어린이","20241114","15,000","13,500","750점","4460","어린이"
"622","국내도서","다른 길 (반양장)","352892515","9788991418387","03810","박노해 지음","느린걸음","20241126","22,000","19,800","1,100점","3620","에세이"
"623","국내도서","수상한 옆집","352425927","9788963196176","73810","박현숙 지음, 유영주 그림","북멘토(도서출판)","20241128","13,000","11,700","650점","3530","어린이"
"624","국내도서","그들의 하루","351645822","9791198838841","03810","차인표 지음","사유와공감","20241120","18,000","16,200","900점","3530","소설/시/희곡"
"625","국내도서","나는 그림을 보며 어른이 되었다","352246550","9791193238455","03600","이유리 지음","수오서재","20241115","18,000","16,200","900점","3480","인문학"
"626","국내도서","2025 이유진 국어 논리강화약화 딥러닝","352206411","9791167227355","13710","이유진 지음","메가스터디교육(공무원)","20241125","13,000","11,700","130점","3070","수험서/자격증"
"627","국내도서","루이스 임용고시 심층면접 기출분석집","351766363","9791194247050","13370","루이스 지음","캠버스","20241120","33,000","31,350","1,650점","2850","수험서/자격증"
"628","국내도서","오만과 편견","436838","9788937460883","04840","제인 오스틴 지음","민음사","20030920","13,000","11,700","650점","47007","소설/시/희곡"
"629","국내도서","지적 대화를 위한 넓고 얕은 지식 2","228728501","9791190313193","03100","채사장 지음","웨일북","20200201","16,000","14,400","800점","43202","인문학"
"630","국내도서","삐뽀삐뽀 119 이유식","124853398","9791195795529","03590","하정훈 지음","유니책방","20171201","18,900","17,010","940점","33780","좋은부모"
"631","국내도서","아몬드","318933239","9791198363510","03810","손원평 지음","다즐링","20230714","16,800","15,120","840점","28802","소설/시/희곡"
"632","국내도서","뿐이 토핑 이유식","335110473","9791168222724","13590","정주희 지음, 이수진 감수","서사원","20240307","29,800","26,820","1,490점","16424","요리/살림"
"633","국내도서","2025 전한길 한국사 합격생 필기노트 (스프링)","340094664","9791167226990","13910","전한길 지음","메가스터디교육(공무원)","20240605","15,000","13,500","150점","16388","수험서/자격증"
"634","국내도서","2025 선재국어 신유형 매일 국어 시즌 1","345795998","9791190302265","13700","이선재 지음","수비니겨","20240826","17,000","15,300","170점","13485","수험서/자격증"
"635","국내도서","나 혼자만 레벨업 13 (한정판)","351180216","9791193821770","04810","장성락(REDICE STUDIO) 지음, 추공 원작, 현군 각색","디앤씨웹툰비즈","20241128","57,000","51,300","2,850점","11280","만화"
"636","국내도서","2025 심슨 문법 300제","345963971","9791162052464","13740","심우철 지음","심슨북스","20240903","15,000","13,500","750점","10420","수험서/자격증"
"637","국내도서","말투만 바꿨을 뿐인데","347626348","9791198774835","03190","김민성 지음","프로파일러 북스","20240926","17,800","16,020","890점","9105","자기계발"
"638","국내도서","나는 크고 아름다워요","349406441","9791158364700","77840","배슈티 해리슨 지음, 김서정 옮김","책읽는곰","20241015","17,000","15,300","850점","9045","유아"
"639","국내도서","가장 젊은 날의 철학","350426887","9791193063705","03110","이충녕 지음","북스톤","20241111","18,800","16,920","940점","7570","인문학"
