순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"76","예술/대중문화","해피엠 기초 일렉기타 레슨","293736064","9791197094576","","이화균 지음","해피엠뮤직","20220425","18,000","16,200","900점","6785","예술/대중문화"
"77","예술/대중문화","필로우맨","346723703","9788932461434","04840","마틴 맥도나 지음, 서민아 옮김","을유문화사","20240910","16,000","14,400","800점","4345","소설/시/희곡"
"78","예술/대중문화","사토 후쿠로의 단순한 제스처 드로잉","331170641","9788979293944","13650","사토 후쿠로 지음, 김재훈 옮김","잉크잼(잼스푼)","20240102","26,000","23,400","1,300점","4328","예술/대중문화"
"79","예술/대중문화","당신의 음악 취향은","344765644","9791198123169","03670","수전 로저스.오기 오가스 지음, 장호연 옮김","에포크","20240819","22,000","19,800","1,100점","3710","예술/대중문화"
"80","예술/대중문화","포트레이트 인 재즈","33352540","9788970128948","03830","무라카미 하루키 지음, 김난주 옮김, 와다 마코토 그림","문학사상사","20131121","17,500","15,750","870점","3328","에세이"
"81","예술/대중문화","욕망을 그린 화가, 에곤 실레","349824056","9788947549769","03600","에스터 셀스던.지넷 츠빙겐베르거 지음, 이상미 옮김","한경arte","20241022","24,000","21,600","1,200점","1365","예술/대중문화"
"82","예술/대중문화","브랜드 디자인, 이렇게 하면 되나요?","351028064","9791193926758","13650","백디 지음","제이펍","20241108","20,000","18,000","1,000점","1360","예술/대중문화"
"83","예술/대중문화","하루 한 장 컬러의 법칙 100","352429482","9791193217740","93650","스티븐 웨스트랜드.매기 마지오 지음, 원세화 옮김","유엑스리뷰","20241125","28,000","25,200","1,400점","800","예술/대중문화"
"84","예술/대중문화","선재 업고 튀어 1~2 세트 - 전2권","340152805","9791168030817","04810","이시은 지음","북로그컴퍼니","20240722","50,000","45,000","2,500점","76770","예술/대중문화"
"85","예술/대중문화","키노 씨네필","337383277","9791190738637","03680","키노 씨네필 편집부 엮음","플레인","20240403","35,000","35,000","1,750점","24214","예술/대중문화"
"86","예술/대중문화","방구석 미술관 2 : 한국","255669158","9788968332845","03600","조원재 지음","블랙피쉬","20201118","18,500","16,650","920점","19066","예술/대중문화"
"87","예술/대중문화","명화의 탄생, 그때 그 사람 (리커버 에디션)","335727604","9788947549417","03600","성수영 지음","한경arte","20240307","21,000","18,900","1,050점","9828","예술/대중문화"
"88","예술/대중문화","셰익스피어 4대 비극 에디션 세트 - 전4권 (리커버 특별판)","324177909","9788937416781","04840","윌리엄 셰익스피어 지음, 최종철 옮김","민음사","20211210","25,000","22,500","1,250점","9298","소설/시/희곡"
"89","예술/대중문화","나의 이브 생 로랑에게","308921444","9791197325809","03860","피에르 베르제 지음, 김유진 옮김","프란츠","20210209","22,000","19,800","1,100점","7596","예술/대중문화"
"90","예술/대중문화","내가 사랑한 화가들","269367262","9791158512132","03600","정우철 지음","나무의철학","20241106","20,000","18,000","1,000점","7058","예술/대중문화"
"91","예술/대중문화","여전히 나는","346108098","9791191744378","07650","다비드 칼리 지음, 모니카 바렌고 그림, 정림(정한샘).하나 옮김","오후의소묘","20240905","18,000","16,200","900점","6615","예술/대중문화"
"92","예술/대중문화","아이디어에서 완성까지, 캐릭터 줄거리 단계별 가이드","342393550","9788925574851","03600","김사라 지음","알에이치코리아(RHK)","20240703","20,000","18,000","1,000점","5593","예술/대중문화"
"93","예술/대중문화","오늘은 어반스케치","326496986","9791190976251","13650","드로잉샤론(김미경) 지음","도서출판 큰그림","20231018","17,000","15,300","850점","5033","예술/대중문화"
"94","예술/대중문화","나만의 필사책 어린 왕자","266519706","9791197153327","03860","앙투안 드 생텍쥐페리 지음, 박선주 옮김","마음시선","20210325","18,800","16,920","940점","4291","소설/시/희곡"
"95","예술/대중문화","버들 손글씨","307846251","9791198121394","13640","류미옥(버들글씨) 지음","무차","20230111","15,000","13,500","750점","3898","건강/취미"
"96","예술/대중문화","세계의 상점들 어반 컬러링북","346789201","9788979294286","13650","어반 안나 지음","EJONG(이종문화사)","20241001","17,000","15,300","850점","3785","예술/대중문화"
"97","예술/대중문화","필립 퍼키스의 사진강의 노트","336005387","9788998043292","03660","필립 퍼키스 글.사진, 박태희 옮김","안목","20240309","18,000","16,200","900점","3388","예술/대중문화"
"98","예술/대중문화","예술, 도시를 만나다","208664647","9788952739148","04600","전원경 지음","시공아트","20191008","38,000","34,200","1,900점","3189","예술/대중문화"
"99","예술/대중문화","하루 한 장 어반 스케치","340715950","9788969525857","13650","김성호.박은희.조정은 지음","경향BP","20240612","17,700","15,930","880점","2969","예술/대중문화"
"100","예술/대중문화","어썸일렉기타 튜토리얼","345033785","9791198274663","13670","김동주 지음","어썸기타","20240816","18,000","16,200","900점","2600","예술/대중문화"
"101","예술/대중문화","*새로운* 그래픽 디자인 교육 과정","350868547","9791194232018","03600","데이비드 라인퍼트 지음, 민구홍 옮김","작업실유령","20241025","27,000","24,300","1,350점","2310","예술/대중문화"
"102","예술/대중문화","신의 눈빛을 훔친 남자 빈센트 반 고흐","351770188","9788960536654","03600","이태호 지음","마로니에북스","20241115","25,000","22,500","1,250점","1080","예술/대중문화"
"103","예술/대중문화","귀여운 소녀 그리기","351571429","9788931477580","13650","하라켄시 지음, 고영자 옮김","영진.com(영진닷컴)","20241112","20,000","18,000","1,000점","850","예술/대중문화"
"104","예술/대중문화","셰익스피어, 인간심리 속 문장의 기억 Shakespeare, Memory of Sentences (양장)","352545412","9791186151747","03190","윌리엄 셰익스피어 원작, 박예진 편역","센텐스","20241201","19,400","17,460","970점","790","인문학"
"105","예술/대중문화","톨킨의 세계","352605478","9788927813262","03860","존 가스 지음, 박혜원 옮김","중앙books(중앙북스)","20241122","42,000","37,800","2,100점","570","예술/대중문화"
"106","예술/대중문화","파우스트 1","187574","9788937460210","04850","요한 볼프강 폰 괴테 지음, 정서웅 옮김","민음사","19990320","9,500","8,550","470점","16334","소설/시/희곡"
"107","예술/대중문화","Save the Cat! : 흥행하는 영화 시나리오의 8가지 법칙","37478999","9788997716395","03680","블레이크 스나이더 지음, 이태선 옮김","비즈앤비즈","20140226","15,000","13,500","750점","12792","예술/대중문화"
"108","예술/대중문화","한국 인터넷 밈의 계보학","339501952","9791157833399","93100","김경수 지음","필로소픽","20240617","19,000","18,050","570점","12608","인문학"
"109","예술/대중문화","비전 : 「빛」,「색」,「구성」으로 스토리를 전한다!","302588222","9788979293494","13650","한스 P. 바커.사나탄 수리아반쉬 지음, 윤효원 옮김","잉크잼(잼스푼)","20221017","47,000","42,300","2,350점","9353","예술/대중문화"
"110","예술/대중문화","파우스트 (명화 수록 무삭제 완역본)","333237881","9791139716542","03850","요한 볼프강 폰 괴테 지음, 외젠 들라크루아 그림, 안인희 옮김","현대지성","20240208","17,500","15,750","870점","8585","소설/시/희곡"
"111","예술/대중문화","포스 드로잉","2919445","9788992607247","03630","마이크 마테시 지음, 박성은 옮김","비즈앤비즈","20081209","19,000","17,100","950점","8080","예술/대중문화"
"112","예술/대중문화","연기하지 않는 연기","225038457","9791196417826","04600","해럴드 거스킨 지음, 이은주 옮김","도레미엔터테인먼트","20191220","18,000","16,200","900점","6029","예술/대중문화"
"113","예술/대중문화","사진","226753376","9788940805923","93660","바바라 런던 외 지음, 임수식 외 옮김","미진사","20191225","38,000","34,200","1,900점","5805","예술/대중문화"
"114","예술/대중문화","자연스러운 포즈 드로잉","343495760","9791172100599","13600","소은 박경선 지음","동양북스(동양문고)","20240812","35,000","31,500","1,750점","5757","예술/대중문화"
"115","예술/대중문화","갈매기 / 세 자매 / 바냐 아저씨 / 벚꽃 동산","95713685","9788949714905","04800","안톤 파블로비치 체호프 지음, 동완 옮김","동서문화동판(동서문화사)","20160909","12,000","10,800","600점","4920","소설/시/희곡"
"116","예술/대중문화","음악 1도 몰라도 돼요! 꿀잼기타 1","262945031","9791197329104","01670","안상준 지음","꿀잼뮤직","20210201","15,000","13,500","750점","3478","예술/대중문화"
"117","예술/대중문화","상견니","352232476","9791130657912","03680","싼펑프로덕션 지음, 김소희 옮김","오브제","20241113","25,000","22,500","1,250점","3350","예술/대중문화"
"118","예술/대중문화","타오르는 어둠 속에서 / 어느 계단의 이야기","328396","9788932013039","04870","안토니오 부에로 바예호 지음, 김보영 옮김","문학과지성사","20020121","16,000","14,400","800점","3174","소설/시/희곡"
"119","예술/대중문화","영국화가 엘리자베스 키스의 올드 코리아 (완전 복원판)","242545131","9791188990733","04910","엘리자베스 키스.엘스펫 키스 로버트슨 스콧 지음, 송영달 옮김","책과함께","20200610","43,000","38,700","2,150점","2842","역사"
"120","예술/대중문화","아이스테시스","349884638","9788964452813","93100","자크 랑시에르 지음, 박기순 옮김","길(도서출판)","20241016","42,000","37,800","2,100점","2840","사회과학"
"121","예술/대중문화","눈치 없는 평론가","350419079","9791168731288","03810","서정민갑 지음","오월의봄","20241022","17,200","15,480","860점","1985","에세이"
"122","예술/대중문화","투시 드로잉","347097262","9788960884694","13650","김동호 지음","아이생각(디지털북스)","20241015","25,000","22,500","1,250점","1900","컴퓨터/모바일"
"123","예술/대중문화","아주 사적인 미술관: 이건희 홍라희 마스터피스","350988221","9788927880677","03600","권근영 지음","중앙books(중앙북스)","20241110","25,000","22,500","1,250점","1390","예술/대중문화"
"124","예술/대중문화","DAY6 데이식스 베스트 피아노 연주곡집","351944653","9791193978481","13670","나정현 엮음","그래서음악(somusic)","20241120","15,000","13,500","750점","1040","예술/대중문화"
"125","예술/대중문화","나의 해리에게 1~2 세트 - 전2권","350849231","9791168030923","04810","한가람 지음","북로그컴퍼니","20241216","48,000","43,200","2,400점","990","예술/대중문화"
"126","예술/대중문화","실제와 똑같이! 사실적인 그림을 그리는 방법","351769770","9788931475555","13600","Yas 지음, 김재훈 옮김","영진.com(영진닷컴)","20241122","19,000","17,100","950점","760","예술/대중문화"
"127","예술/대중문화","남자 캐릭터 일러스트 포즈집","351978285","9791127482077","13650","하비재팬 편집부 지음, 김진아 옮김","AK(에이케이)커뮤니케이션즈","20241110","21,800","19,620","1,090점","560","만화"
"128","예술/대중문화","옵.신 10","352570788","9791194232056","03600","김성희 외 지음","작업실유령","20241101","25,000","22,500","1,250점","490","예술/대중문화"
"129","예술/대중문화","나는 앞으로 몇 번의 보름달을 볼 수 있을까","319597512","9791168126541","03830","류이치 사카모토 (Ryuichi Sakamoto) 저자, 황국영 역자","위즈덤하우스","20230628","20,000","18,000","1,000점","28588","에세이"
"130","예술/대중문화","미술가를 위한 빛의 이해와 활용","39196112","9788997716425","03600","리처드 요트 지음, 안영진 옮김","비즈앤비즈","20140402","20,000","18,000","1,000점","12028","예술/대중문화"
"131","예술/대중문화","포인트 간추린 체르니 100","533458","9788932624723","93670","삼호뮤직 콘텐츠기획개발부 지음","삼호뮤직(삼호출판사)","20041210","5,000","4,500","250점","11643","예술/대중문화"
"132","예술/대중문화","서양미술사 (양장)","114538510","9791197828508","03600","에른스트 H. 곰브리치 지음, 백승길.이종숭 옮김","예경","20170630","53,000","47,700","530점","10282","예술/대중문화"
"133","예술/대중문화","피아노 명곡집 1","155964","9788903334033","93670","세광음악 편집부 엮음","세광음악출판사","19940501","7,000","6,300","350점","9723","예술/대중문화"
"134","예술/대중문화","모국어는 차라리 침묵","280910486","9791189467302","03600","목정원 지음","아침달","20211015","18,600","16,740","930점","8941","예술/대중문화"
"135","예술/대중문화","화가가 사랑한 바다","318299782","9791198146113","03600","정우철 지음","오후의서재","20230630","22,000","19,800","1,100점","8451","예술/대중문화"
"136","예술/대중문화","스즈키 첼로 교본 1","6212856","9788903422310","93670","세광음악 편집부 엮음","세광음악출판사","20091201","10,000","9,000","500점","8100","예술/대중문화"
"137","예술/대중문화","미니 캐릭터 그리는 법","321872164","9788979293807","13650","유메노우치 치하루 지음, 김재훈 옮김","잉크잼(잼스푼)","20230801","24,000","21,600","1,200점","6913","만화"
"138","예술/대중문화","실패의 기술과 퀴어 예술","339889776","9788965643005","03300","잭 핼버스탬 지음, 허원 옮김","현실문화","20240524","28,000","25,200","1,400점","5012","사회과학"
"139","예술/대중문화","데이비드 호크니, 무엇이든 예술이 된다","345735877","9791193217511","02650","데이비드 호크니 지음, 조은형 옮김","유엑스리뷰","20240902","32,000","28,800","1,600점","4785","예술/대중문화"
"140","예술/대중문화","기초 기타 트레이닝 30일 초보자편","6903461","9788992456753","03670","미야와키 토시로 지음","SRM(SRmusic)","20100427","9,500","8,550","470점","4474","예술/대중문화"
"141","예술/대중문화","통쾌한 희곡의 분석","237455679","9788957867310","","데이비드 볼 지음, 김석만 옮김","연극과인간","20200331","7,000","6,650","350점","4230","대학교재/전문서적"
"142","예술/대중문화","실용음악 기초 화성학","295681288","9791189598228","13670","이채현 지음","1458music","20220610","18,500","16,650","920점","3884","예술/대중문화"
"143","예술/대중문화","유홍준의 한국미술사 강의 5","326236712","9791189074616","04600","유홍준 지음","눌와","20231020","26,000","23,400","1,300점","3861","예술/대중문화"
"144","예술/대중문화","신비한 건물 탐방기","345726428","9791193712450","03650","노노하라 지음, 김재훈 옮김","한즈미디어(한스미디어)","20240829","25,000","22,500","1,250점","3535","만화"
"145","예술/대중문화","강렬한 울림을 주는 이야기 주제 잡는 법","345267778","9791192706269","03800","K.M. 웨일랜드 지음, 박상미 옮김","아날로그(글담)","20240820","20,000","18,000","1,000점","2585","인문학"
"146","예술/대중문화","아트","349940233","9791161111360","03860","야스미나 레자 지음, 백선희 옮김","뮤진트리","20241018","14,500","13,050","720점","2075","소설/시/희곡"
"147","예술/대중문화","생각의 구축","349860812","9788958722366","02540","이용주 지음","효형출판","20241025","20,000","18,000","1,000점","1810","예술/대중문화"
"148","예술/대중문화","어썸기타 튜토리얼","310158466","9791195795376","","김동주 지음","어썸기타","20230126","18,000","16,200","900점","1608","예술/대중문화"
"149","예술/대중문화","대성당들이 희었을 때","350558272","9788972971450","03600","르 코르뷔지에 지음, 이관석 옮김","동녘","20241030","22,000","19,800","1,100점","1605","예술/대중문화"
"150","예술/대중문화","박물관은 조용하지 않다","350595519","9791189352837","03300","이연화 지음","위너스북","20241031","17,500","15,750","870점","1490","인문학"
"151","예술/대중문화","발레의 용어와 기술","338620409","9791190631853","93680","서수민 지음","우물이있는집","20240515","30,000","27,000","1,500점","1448","건강/취미"
"152","예술/대중문화","글렌 굴드, 피아노 솔로","344410184","9788980389513","94000","미셸 슈나이더 지음, 이창실 옮김","동문선","20240715","18,000","16,200","900점","1350","예술/대중문화"
"153","예술/대중문화","21세기의 매체철학","349171347","9788976828828","93100","심혜련 지음","그린비","20241004","25,000","23,750","750점","1225","인문학"
"154","예술/대중문화","일생에 한번은 베토벤을 만나라","350919408","9791194357025","03670","안우성 지음","유노라이프","20241107","17,000","15,300","850점","1070","예술/대중문화"
"155","예술/대중문화","카라바조 이야기","351626867","9791198985606","03600","김선현 지음","모먼트오브임팩트피티이엘티디","20241108","33,000","29,700","1,650점","810","예술/대중문화"
"156","예술/대중문화","스토리텔링 작법의 비밀","351721625","9788998417581","13300","김윤정 외 지음","나무자전거","20241115","20,000","18,000","1,000점","690","예술/대중문화"
"157","예술/대중문화","지금 당장 알고 싶은 한국미술 10","352359814","9791193598030","03600","강병직 지음","연립서가","20241111","27,000","24,300","1,350점","550","역사"
"158","예술/대중문화","헤어질 결심 각본","298203316","9788932474755","03680","박찬욱.정서경 지음","을유문화사","20220805","15,000","13,500","750점","30223","예술/대중문화"
"159","예술/대중문화","서양미술사 (반양장)","75760","9788970840659","03600","E.H.곰브리치 지음, 백승길 외 옮김","예경","20030710","38,000","34,200","1,900점","30126","예술/대중문화"
"160","예술/대중문화","햄릿","168036","9788937460036","04800","윌리엄 세익스피어 지음, 최종철 옮김","민음사","19980805","7,000","6,300","350점","18795","소설/시/희곡"
"161","예술/대중문화","반 고흐, 영혼의 편지 1","195987408","9788959135219","03890","빈센트 반 고흐 지음, 신성림 옮김","위즈덤하우스","20170531","15,000","13,500","750점","14896","예술/대중문화"
"162","예술/대중문화","하농 60 피아노 교본","440547","9788981054748","13670","LE PIANISTE-VIRTUOSE 지음","음악세계","20031101","8,000","7,200","400점","14005","예술/대중문화"
"163","예술/대중문화","피아노 소곡집 1","156017","9788903332015","93670","세광음악 편집부 엮음","세광음악출판사","19900301","7,000","6,300","350점","13732","예술/대중문화"
"164","예술/대중문화","정확한 사랑의 실험","46985012","9788960902039","03810","신형철 지음","마음산책","20141001","16,000","14,400","800점","13683","에세이"
"165","예술/대중문화","시노자키 바이올린 교본 1 - 개정판","87285","9788903412076","93670","시노자키 지음","세광음악출판사","19910901","10,000","9,000","500점","12866","예술/대중문화"
"166","예술/대중문화","컬러의 세계","340476203","9791130653082","03600","찰스 브라메스코 지음, 최윤영 옮김","다산북스","20240529","19,800","17,820","990점","12330","예술/대중문화"
"167","예술/대중문화","석가의 해부학 노트","101293088","9788931579833","13600","석정현 지음","성안당","20170206","42,000","37,800","420점","11517","예술/대중문화"
"168","예술/대중문화","잘 그리기 금지","284106373","9788979293470","13650","사이토 나오키 지음, 박수현 옮김","잉크잼(잼스푼)","20211220","16,500","14,850","820점","10007","예술/대중문화"
"169","예술/대중문화","어떻게 헤어질 결심을","345726785","9788932475059","93660","박찬욱 지음","을유문화사","20240825","38,000","34,200","1,900점","9245","예술/대중문화"
"170","예술/대중문화","오이디푸스 왕","4478861","9788937462177","04800","소포클레스 지음, 강대진 옮김","민음사","20090821","11,000","9,900","550점","8892","소설/시/희곡"
"171","예술/대중문화","픽사 스토리텔링","287110908","9791139701326","03320","매튜 룬 지음, 박여진 옮김","현대지성","20220121","18,000","16,200","900점","8677","경제경영"
"172","예술/대중문화","지은쌤의 30일 피아노 코드 반주 1","210507498","9791189598075","13670","김지은 지음","1458music","20191007","18,500","16,650","920점","7917","예술/대중문화"
"173","예술/대중문화","루브르에서 쇼팽을 듣다","330749468","9791190266055","03600","안인모 지음","지식서재","20240108","22,000","19,800","1,100점","7425","예술/대중문화"
"174","예술/대중문화","무서운 그림들","342343102","9791193128077","03600","이원율 지음","빅피시","20240710","18,800","16,920","940점","6877","예술/대중문화"
"175","예술/대중문화","똑같은 빨강은 없다","171909828","9788936452322","43600","김경서 지음","창비","20181026","14,000","12,600","700점","6622","청소년"
"176","예술/대중문화","작곡독학 가이드북","195578800","9791189598068","","박주언(박터틀) 지음","1458music","20190702","18,500","16,650","920점","6037","예술/대중문화"
"177","예술/대중문화","호크니와 게이퍼드가 말하는 그림의 역사","343606362","9791192768175","03600","데이비드 호크니.마틴 게이퍼드 지음, 주은정 옮김","미술문화","20240819","38,000","34,200","1,900점","5549","예술/대중문화"
"178","예술/대중문화","박터틀의 재즈피아노 독학 가이드북 1","235829540","9791189598082","13670","박주언(박터틀) 지음","1458music","20200410","21,000","18,900","1,050점","5265","예술/대중문화"
"179","예술/대중문화","산연기","53183866","9791185475042","94680","우타하겐 지음, 김윤철 옮김","퍼스트북","20150120","22,000","22,000","0점","4872","예술/대중문화"
"180","예술/대중문화","칼 라르손, 오늘도 행복을 그리는 이유 (양장 특별판)","336056343","9788925575278","03600","이소영 지음","알에이치코리아(RHK)","20240313","30,000","27,000","1,500점","4818","예술/대중문화"
"181","예술/대중문화","로원의 몽글몽글 데일리 걸 컬러링북","301179926","9788931467338","13650","로원 지음","영진.com(영진닷컴)","20220913","15,000","13,500","750점","4792","예술/대중문화"
"182","예술/대중문화","코뿔소","322864494","9788937464225","04800","외젠 이오네스코 지음, 박형섭 옮김","민음사","20230815","12,000","10,800","600점","4701","소설/시/희곡"
"183","예술/대중문화","얼굴과 손 그리기","251740431","9788994796154","","앤드류 루미스 지음, 문수민 옮김","디자인이음","20200916","7,000","6,300","350점","4598","예술/대중문화"
"184","예술/대중문화","영화연출론","303703190","9791169252911","03680","스티븐 D. 캐츠 지음, 김학순.최병근 옮김","시공아트","20221024","22,000","19,800","1,100점","4510","예술/대중문화"
"185","예술/대중문화","이태윤의 베이직 베이스 입문편","16498285","9788997185146","13670","이태윤.최희철 지음","SRM(SRmusic)","20120420","16,000","14,400","800점","4506","예술/대중문화"
