ISBN,review_content,rating
9791168761841.0,내 등을 보고 따라와 하지만 등돌아보지는 마. 그 어떤 꿈과 청춘과 사랑과 동경과 애틋함과 미련과 후회와 고마움에 대한 헌사,5
9791168761841.0,두 사람의 열정이 정말 예뻐서 더 가슴 아픈 이야기였어요. 저도 재기 넘치는 후지노 선생님의 팬이 되었습니다. 쿄모토의 마음을 정말 잘 알겠어요. 다들 어렸을 적 만화 한 번쯤은 그려봤잖아요. 같은 반의 존잘님을 보고 펜대를 꺾었지만! 그때의 추억이 떠오르게 하는 만화였어요.,5
9791168761841.0,그저 평범하기 짝이 없는 일상에서 피어난 두 사람의 우정은 생각보다 큰 감동으로 다가옵니다. 작가님의 연출 그리고 그들의 이야기에 스며들어 어느새 빠져들고 말았어요.,5
9791168761841.0,기다렸던만큼 충분히 감동을 느낄 수 있었습니다. 연출이 정말 대단하다고 생각됩니다.,5
9791168761841.0,"작가안에서 공존하던 두 가지 인격 같아요. 예술적인 일러스트냐, 이야기를 드러내는 만화냐.. 둘 다 너무 좋은데..사이좋게 병립할 수도 있지 않을까 하다가..결국 선택합니다.  가지 않았던 길에 대한 아쉬움이랑 결단 같아요. 그걸 이렇게 풀어내니 천생 작가구나 싶네요.",5
9791168761841.0,만화 천재가 그려낸 최고의 헌정작. 표면 서사나 심층 서사나 다 완벽하다.,5
9791168761841.0,이 작품 보고나면 그림그리고 싶어져서 손이 근질근질해짐,5
9791168761841.0,만신의 작품 바로 구매,5
9791168761841.0,"스토리 연출 좋았어요.. 만화 작가님들의 만화에 대한 열정,,, 어렴풋이 느낄수 있어서 좋았어요...",4
9791168761841.0,"이야기도 너무 재미있고, 대사 없는 그림으로도 전달되는 감정, 작업에 몰두하는 엎드린 등의 모습, 참으로 현실적인 우정과 질투가 섞인 관계... 만화의 모든 부분이 다 좋았어요.",5
9791168761841.0,"비극적인 일을 겪은 한 회사에 대한 헌정, 본인의 그림 실력에 대한 열등감, 만화에 대한 사랑을 감성적인 연출로 훌륭하게 녹여낸 1화의 악마의 걸작",5
9791168761841.0,쩗은 만화이지만 여백과 그림 시선에서 주인공의 감정선이 잘 드러나 있었다.,5
9791168761841.0,미쳤어 ㅠㅠ 내가 대신 울게. 계속 그리렴.,5
9791168761841.0,귀엽다,4
9791168761841.0,기대되네요,5
9791168761841.0,명작이래서 구입합니다,5
9791168761841.0,기다렸던 작품~~ 재밌습니다!,4
9791168761841.0,인정하고 싶지 않지만 후지모토 타츠키는 천재다,5
9791168761841.0,기다렸습니다,5
9791168761841.0,알고보니 예전에 인터넷에서 봤던 만화. 단편이지만 꽤 서사를 잘 썼다고 생각한다. 잔잔한 일상의 역동에서 오는 감동,4
9791168761841.0,너무 재밌게 봤어요・・・,5
9791168761841.0,잘보겠습니다 감사합니다,5
9791168761841.0,만화의 신…,5
9791168761841.0,1권의 악마가 본색을 드러낸 단편.,5
9791168761841.0,이런 책이 진짜 일본만화의 힘이랄까. 너무 좋은 작품,5
9791168761841.0,다보고 나니까 룩 백이란 제목이 너무 와닿는다;; 눈물났음,5
9791168761841.0,"짧은 한권에 긴 여운이 남네요. 룩백에 여러의미가 담겨 더 아련하네요. 계속되는 뒷모습, 집중한 뒷모습이 못잊을것 같아요. 그림도 독특하고 따듯해서 좋아요. 애니로 나와서 궁금해서 봤는데 넘 맘 아프지만 좋았어요. 가을의 감성과 잘어울려요. 몇년후 잊을만하면 다시 봐야겠어요.",5
9791168761841.0,서로가 만화를 그리는 이유였던 쿄모토와 후지노. 더 이상 함께할 순 없지만 그들이 그렸던 만화 속에서 사람들의 마음 속에서 함께 할 것이요.,4
9791168761841.0,영화 보고 안 갈수 없었습니다,5
9791168761841.0,기다렸던 작품에요 재밌게 잘 읽었어요,5
9791168761841.0,다 읽고 나니 내 몸마저도 감동한 듯 온몸에 전율이 돋았다.,5
9791168761841.0,감동적인 단편입니다,5
9791168761841.0,그럼에도 다시 그리기 시작하다. 짙은 페이소스가 느껴지는 수작.,5
9791168761841.0,호평이 자자해서 기대했는데 역시 난 이런 감성 위주의 작품은 안 맞다... 체인소 맨이 만배는 재밌어,3
9791168761841.0,재밌습니다.,5
9791168761841.0,만화와 이야기를 정말 좋아하는 사람이 만들었다는 게 느껴졌습니다.,5
9791168761841.0,정말 좋은 만화..,5
9791168761841.0,이건 수작이다,5
9791168761841.0,물 흐르듯 흘러가는 이야기를 따라가다보니 어느새 마지막 장에 다다랐다,5
9791168761841.0,안녕에리와 함께 타츠키의 좋은 작품,5
9791168761841.0,재밌게 읽었습니다.,5
9791168761841.0,행복해야해 얘들아,5
9791168761841.0,감동적인 여운을 느끼게 만드는 한권의 만화였습니다. 추천합니다.,5
9791168761841.0,흡입력 있는 단편만화,5
9791168761841.0,Don‘t Look Back in Anger~~~,5
9791168761841.0,최고의 단편집,5
9791168761841.0,단편의 악마 후지모토 타츠키,5
9791168761841.0,전자책이랑 종이책 모두 구매,5
9791168761841.0,영화 보고 오랜만에 재주행 했습니다,5
9791168761841.0,별생각없이 봤는데 재미있었습니다.,5
9791168761841.0,스토리도 연출도  너무 좋아요,5
9791168761841.0,"이 단편을 다 읽는데 걸린 시간은 15분이었지만, 올해 최고의 15분이였다고 당당히 말할 수 있다.",5
9791168761841.0,이 글에는 스포일러가 포함되어 있습니다. 보시겠습니까?회색 영역을 클릭하면 내용을 확인할 수 있습니다.,5
9791168761841.0,꿈을 알아주는 단 한 명이 인생을 바꿀 수 있다.,5
9791168761841.0,이 책의 장르는 만화가 아니라 <시>이고 이책은 <시집>이라고 생각합니다.저자의 작가정신과 작품성에 완전히 압도되었고 경도 되었습니다..모지모토 타츠키님의 작품은 이책이 처음인데 열렬한 팬이 됐고곧바로 5만원에 맞춰서 이분의 책 4권과 유시민의 신간을 주문했습니다.강력하게 추천합니다,5
9791168761841.0,너무 짧아 아쉬웠다.,5
9791168761841.0,재밌게 봤습니다,5
9791168761841.0,정말 재밌어요...,5
9791172888381.0,재밌어요!!,5
9791141134068.0,귀멸 학원! 6 (한정판) 너무 좋아요. 드디어 끝이네요 ^^,5
9791127473822.0,"SNS에서 우연히 본 고양이 일러스트를 통해 알게 된 작가님이다. 마냥 귀여운 고양이가 아닌, 일상 속 고양이의 모습을 재밌게 그려서 좋았던 작품이었다. 모부의 매력있는 생활을 계속해서 보고 싶다. 다음 권이 있다면 그것도 정발되었으면 좋겠다!",5
9791127473822.0,아이가 정말 재미있게 읽었어요책집중도가 약한아이인데도 재미있게 한번에 끝까지 읽더라고요자기도 모부처럼 될꺼라는 깜찍한 말도 해줬답니다,5
9791127473822.0,"모부는 캔 부자가 되는 것이 꿈입니다. 그런데 여러분, 이 책을 읽으면서 느낀 것은, 단순히 캔을 많이 모으는 것이 모부의 꿈이 아니라는 것이었어요.모부에게 있어서 단순한 물질적인 부가 아니라, 특히, 모부가 자신의 꿈을 향해 나아갈 때 보여주는 용기와 끈기는 정말로 감동적이었습니다. 💖",5
9791127473822.0,예전부터 좋아하던 작가님이라 바로 구매했어요. 마냥 귀엽고 순한 모습이 아니라 현실적인 냥이의 모습을 잘 살리셨달까요 ㅋㅋ 곳곳에 숨어있는 고양이 웃짤들 그림 발견하는 재미도 쏠쏠해요!,5
9791127473822.0,삼색털을 가진 귀여운 얼굴과 발바닥의 분홍빛 젤리를 매력 포인트로 가진 모부의 삶을 들여다 보고 있으면 어느새 나도 빈둥빈둥 낮잠을 자고 싶은 기분이 든다. 잠시 일상의 걱정거리는 접어두고 모부의 일상을 들여다보자. 곧 입가에 웃음이 피어날거라고 확신한다. 다음편이 벌써 기대된다.,5
9791127473822.0,고양이를 너무 좋아하는 아들과 함께 읽고 싶어서 구매했어요모부 캐릭터 자체가 너무 귀엽고 생긴것도 매력이 넘쳐서읽은내내 웃음이 끊이지 않고 나중에 계속 생각이 나더라고요저희 아들은 캐릭터 굿즈까지 사고 싶어 할정도로 좋아했어요주변에 집사인 친구들에게도 책 선물을 해주겠다면서^^,5
9791127473822.0,보기전에 주변 지인에게 추천도 받고 이런 컬러의 색감을 좋아하고 만화형태의 엽서도 너무 귀엽고 일러스트도 굿이에요.스토리 라인은 어느정도 알고 있지만 들고 다니기도 편하고 좋아요,5
9791127473822.0,딸이랑 같이 읽으려고 구매했어요~ 워낙 고양이가 들어가는 책을 좋아하거든요ㅎㅎ 재밌게 술술 읽히고 그림보는 재미도 쏠쏠하고 소장하고픈 책이네요^^,5
9791127473822.0,"삼색털을가진모부이야기를 통해 고양이의매력에대해알수있어서좋았네요.일상속에서 고양이도 생각도하고 엿볼수있어서 좋은 내용이네요 .모부에대한 내용을 쉽고, 그림체도 이쁘고 저도 하루만에 읽었어요.다음권도 읽고싶어지네요.",5
9791127473822.0,그림체가 너무 좋아서 구매하게 되었어요매력있는 모부♡흥미진진해서 앉은 자리에서 다 읽었어요,5
9791127473822.0,표지의 고양이가 너무나 결연한 표정으로 캔을 꼬옥 안고 있길래 내용도 모르고 샀는데 아 진짜 너무 귀여움ㅠㅠ💕💕 독립적인 고양이가 되는 게 꿈이라는 모부의 이야기를 농담으로 듣지 않고 주인이 진지하게 이야기를 나누고 응원해주는 게 마음 따뜻해요. 창작 과정에 대한 인터뷰도 좋았어요!,5
9791127473822.0,재밌어요,5
9791127473822.0,작가의 인터뷰보다 좀 더 이야기가 들어갔으면…모부와 다른 고양이 친구들은 매력적이네요.,4
9791127473822.0,다음권나왔어 빨리 출간해주세요,5
9791127473822.0,여행가면서 가벼운 이야기 보고 싶어서 주문했는데 잘 선택했어요!!!온 가족이 돌아가며 읽으면서 모부의 매력에 빠졌습니다.고양이 까페 엄청 좋아하는 우리 가족에게 냥냥이들의 삶을 엿볼 수 있는 기회가 되었어요!!!,5
9791172885236.0,또 다른 캠핑의 시작.,3
9791172885236.0,처음 봤을 때의 재미랑은 다르게 이젠 힐링된다는 느낌이네요,5
