구분,상품명,ISBN13,저자,출판사,출간일
잡지,매거진 B (Magazine B) Vol.96 : Busan,9791198305671.0,B Media Company 지음,B Media Company,20230915
잡지,악스트 Axt 2024.7.8,9772384367000.0,악스트 편집부 지음,은행나무,20240712
잡지,민들레 Vol.151 : 우리는 왜 이기는 일에 삶을 낭비할까,9771739650606.0,민들레 편집부 엮음,민들레,20240301
잡지,보스토크 VOSTOK 매거진 41호,9791170370550.0,보스토크 프레스 편집부 엮음,보스토크프레스,20230918
잡지,우먼센스 C형 2024.11,9771228337001.0,우먼센스 편집부 지음,서울문화사(잡지),20241018
잡지,매거진 B (Magazine B) Vol.58 : 포틀랜드 (Portland),9791160360196.0,B Media Company 지음,B Media Company,20170713
잡지,매거진 B (Magazine B) Vol.76 : 블루보틀 (Blue Bottle),9791160360707.0,B Media Company 지음,B Media Company,20190508
잡지,큰글씨 좋은생각 : 1년 정기구독 (구독 선물 증정),,,좋은생각사람들,20241101
잡지,악스트 Axt 2017.11.12,,악스트 편집부 지음,은행나무,20171106
잡지,문학동네 100호 - 2019.가을,9771227843206.0,문학동네 편집부 지음,문학동네,20190903
잡지,[동아사이언스] 어린이과학동아 1년 정기구독 (24권),,,동아사이언스,20090101
잡지,매거진 B (Magazine B) Vol.91 : 하와이 (Hawaii),9791197975738.0,B Media Company 지음,B Media Company,20221011
잡지,어반라이크 URBANLIKE 46호 : 책과 공간,9791189096380.0,어반라이크 편집부 지음,어반북스,20230808
잡지,문화과학 114호 - 2023.여름,9771228026004.0,"이광석 외 지음, 『문화/과학』 편집위원회 엮음",문화과학사,20230619
잡지,보스토크 VOSTOK 매거진 43호,9791170370581.0,보스토크 프레스 편집부 지음,보스토크프레스,20240119
잡지,녹색평론 2024년 가을호,9771976225001.0,녹색평론 편집부 지음,녹색평론사,20240902
잡지,뉴필로소퍼 2023 21호,9772586476005.0,뉴필로소퍼 편집부 엮음,바다출판사,20230110
잡지,보스토크 VOSTOK 매거진 44호,9791170370604.0,보스토크 프레스 편집부 지음,보스토크프레스,20240318
잡지,디자인 Design 2024.10,9788970414362.0,디자인 편집부 지음,디자인하우스(잡지),20240923
잡지,MIT 테크놀로지 리뷰 코리아 2024.9.10,9772800009002.0,MIT 테크놀로지 리뷰 편집팀 지음,디엠케이글로벌,20240901
잡지,매거진 B (Magazine B) Vol.68 : 인스타그램 (Instagram),9791160360417.0,B Media Company 지음,B Media Company,20180713
잡지,뉴필로소퍼 2020 12호,9772586476005.0,뉴필로소퍼 편집부 엮음,바다출판사,20201005
잡지,로피시엘 옴므 YK에디션 L'officiel SPECIAL-HIVER A형 2024.겨울 스페셜호 (표지 : 제로베이스원 장하오.리키.김규빈),,로피시엘 옴므 편집부 지음,머니투데이퍼블리싱(잡지),20241025
잡지,보스토크 VOSTOK 매거진 39호,9791170370536.0,보스토크 프레스 편집부 엮음,보스토크프레스,20230518
잡지,보스토크 VOSTOK 매거진 40호,9791170370543.0,보스토크 프레스 편집부 엮음,보스토크프레스,20230717
잡지,마니에르 드 부아르 1호 Maniere de voir 2020,9791186596210.0,르몽드 디플로마티크(월간지) 편집부 지음,르몽드디플로마티크(잡지),20200925
잡지,매거진 B (Magazine B) Vol.95 : Spotify,9791198305619.0,B Media Company 지음,B Media Company,20230626
잡지,릿터 Littor 2024.4.5,9772508333003.0,릿터 편집부 지음,민음사,20240401
잡지,어라운드 Around Vol.90 수집가들 My Favorite Things,9791167540225.0,어라운드 편집부 지음,어라운드,20230731
잡지,hep 헵 매거진 5호 : Pale Blue Eyes,9772635498002.0,헵 매거진 편집부 지음,폴라웍스아트코,20240229
잡지,일년일독 어?성경 Vol.7,9791192715339.0,(사)생터성경사역원 지음,생터성경사역원,20240625
잡지,크레이지 자이언트 스페셜 에디션 안정미,,크레이지 자이언트 편집부 지음,자이언트코리아(잡지),20230925
잡지,일년일독 어?성경 Vol.10,9791192715384.0,(사)생터성경사역원 지음,생터성경사역원,20240814
잡지,상식퍼즐 2024.11,,상식퍼즐 편집부 지음,특급미디어,20241010
잡지,매거진 G 1호 나란 무엇인가?,9788934989011.0,김대식 외 지음,김영사,20201215
잡지,스타퍼즐 2024.11,,스타퍼즐 편집부 지음,특급미디어,20241010
