구분,ISBN13,review_content,rating
경제경영,9788901092942,착하다는 것이 사실은 강한자들의 먹이라는 것... 사실이고 현실 입니다. 강추합,5.0
경제경영,9788901092942,"권력을 원하는가, 그렇다면 이 책을 절대 경쟁자가 볼 수 없게하라.",5.0
경제경영,9788901092942,책의 두께만큼이나 상세한 권력에 관한 모든것의 집대성,5.0
경제경영,9788901092942,공감을 많이 하면서 읽은 책입니다~~추천합니다~,5.0
경제경영,9788901092942,권력의 법칙 ㅋ 각오해라 너에게 내가 원하는 것이 많노라 ^^,5.0
경제경영,9788901092942,"권력의, 권력에 의한, 권력을 위한 책! 당장 집어들라! 아니면 뒤쳐질 자신을 보던가",5.0
경제경영,9788901092942,"이렇게 권력의 기원과 속성, 사용 범례를 .. 잘 알려주는 책이 있을까.",5.0
경제경영,9788901092942,"2년전에 읽은 책이지만 아직도 주요 내용은 내 머릿속에서 남아있고, 실생활의 처세에 많은 도움을 주고있다.",4.0
경제경영,9788901092942,착하게 사는게 좋다는 내 사고를 완전히 바꿔버린책! 누구에게도 권하고싶지 않은책!,5.0
경제경영,9788901092942,"트럼프의 책이나 협상 분야 또는, 동양 고전을 읽은 분에게는 추천 못하겠어요..어디에서 읽었던 것 같은 기시감이 너무 커요.(다른 책이 다뤄서 진부해진 얘기들..그러나 자기 언어로 풀어낸 것은 인정..)그렇다고 책이 익숙하지 않은 사람이 읽자니 분량이 많고.쫌.. 많이 애매한 책이에요.",1.0
경제경영,9788901092942,"명확한 주제, 삼단논법의 결론, 좌우의 주석같은 예시. 주제를 뒷받쳐주는 수많은 인용들을 보고나면 마치 여러권의 책을 읽은 것 같다.",5.0
경제경영,9788901092942,"반값 할인해서 권력의 법칙이랑 2권 샀는데, 통렬한 서체가 독자로 하여금 자극을 받게 해주네요. 지인에게 소개해 주고 싶지 않은 책 중에 하나입니다.",4.0
경제경영,9788901092942,우연한기회에 접하게 되어 읽게 되었는데 친한분이 선거에 나가셔서 선물을 해드렸다.,4.0
경제경영,9788901222660,$2022-10_당신에게 선빵을 날리겠다.당신은 ˝메신저˝에 대해서 얼마나 모르고 있는것을 얼마나 알고있는가?나와 세상의 모든 곪고 썩은 뇌와 창자가 뒤엉켜 튀어나오고있었다.개인적인 대참사가 일깨워준 깨달음이라는 기적을 놓치지않은 자만의 스토리를 보고 많은것을생각했다.메신저는 바로 당신!,5.0
경제경영,9788901222660,"자기개발 서적을 쓴 사람 중에 실제로는 그런 삶을 살지 못하는 사람들이 많다. 그것이 과연 의미있나 의문인데, 이 책은 그걸 망설이지 말고 콘텐츠를 만들어서 하라고 한다.요새 유행하는 유트브 크리에이터들이 참고하면 도움이 될 것 같다.",3.0
경제경영,9788901246086,"어느 유명강사가 자신의 유튜브에서 책을 소개하여 호기심으로 읽었는데, , , 알고있던 혹은 이미 알려진 사실들의 나열이라는 느낌을 나만 받고 있는건지?  기존 사실들과 통계로 무언가 미래를 통찰한다는 느낌이 조금 약한것같다ㆍ어떤 부분에서는 너무 미래를 확언하는것같기도하다ㆍ",3.0
경제경영,9788901246086,"제가 잘 못된건지... 아니면 이런류의 책이나 HBR, DBR의 사례를 자주 접해서인지 유명인들의 말과 다소 뻔한 내용들을 나열한 느낌이네요. 멀리보기에서의 사례는 보기에 상당히 거북했습니다. 사례가 미래를 도전하는 모험이라기보다는 균과 함께한 침략이었고, 멕시코가 성공의 아이콘은 아니니까..",2.0
경제경영,9788901246086,"새롭고 놀라운 이야기를 담고 있지 않다.하지만 정리가 잘 되어 있고, 각 장을 연결하는 흐름이 좋다.......급변하는 미래를 예측하기란 쉽지 않다.그럼에도 불구하고 어떻게 변하게 될지 걱정과 기대를 가질 수 밖에 없는데,2030년에 어떤 상황이 펼쳐질지 예측하는데에 도움이 되는 책이다.",4.0
경제경영,9788901246086,"펜데믹 이후 펼쳐질 미래상을 현재의 트랜드로 예측해 본다.※ 2030 : 저출산 고령화 / 중산층 (인도, 동남아) / 여성 / 도시화 / 과학기술 / 공유경제 / 가상화폐",4.0
경제경영,9788901246086,"세계적 베스트셀러다, 대담하고 혁신적 시각을 제시한다..이런 칭찬 일색의 서평과 자본주의 물량 마케팅에 혹해 상당히 기대하며 구매했으나..미래보고서류의 책을 좀 뒤적여 본 사람이라면 왠지 어디서 본 내용인 듯한 데자뷔를 느낄 수 있음ㅠ그닥 깊이있는 성찰이나 참신한 분석은 발견하기 어려움",3.0
경제경영,9788901246086,"2030년 일어나게될 인구의 연령 변화, 세계 중산층 중심의 변화, 산업의 중심의 변화를 다룬 책.한글로 번역되었으나 잘이해가 되지 않는 부분들이 다수 존재. 내용이 지루하고 반복되는 내용이 많음. 지금 40대 들은 개인 연금등 노후 준비가 절실한 것을 느낌",2.0
경제경영,9788901246086,10년후를 준비한다면 가장 먼저 읽어봐야 할 도서다.앞으로 변화할 세상을 미리 읽는 사람이 당연히 달콤한 열매의 과실도 얻을것이다. 미래를 대비하고 성공하고 싶다면 꼭 읽어봐야할 필독서!!,5.0
경제경영,9788901246086,뻔한내용임,2.0
경제경영,9788901246086,"한 때 종말론으로 암울한 미래를 예견하고, 밀레니엄으로 지구가 혼란에 빠지고 말 것이라는 소릴 들은 적이 있다. 그러나 코로나 이후 빠르게 격변하고 있는 세상의 일상은 지난 몇 백년간 지루하게 발전해오던 모든 것이 아주 빠른시간에 숨쉴틈도 주지 않고 변화되어 갈 것이다. 위기는 기회다!",4.0
경제경영,9788901246086,코로나이후 많은것이 바뀌었지만 우리는 다시 옛날로 돌아가고 싶은 부분도 있으나 현실적으로 많은 세계의 변화에 휩쓸려가야하는것도 있다개인의 선택과 전문가들의 판단이 일치한다고 볼수는 없으나 예측이라는건 조금 위험한발상인듯,4.0
경제경영,9788901246086,친한이모께서 책 주문을 해달라고 하셔서 어제 택배로 받으셨는데 내용이 좋다고 하셨어요,5.0
경제경영,9788901246086,"이런 분류를 처음 접하시는 독자 분들에게는 매우 유익한 내용이겠으나, 같은 분류를 읽는 독자 분들에게는 지겨울 마련입니다. 전문가들이 내놓은 서적이나 논문들도 참고하여 쓰기 때문에 당연히 지겨울 따름이 책은 엄연히 조금이나마 독자들의 이해를 돕고자 쓴 책이며, 미래 예측이 아니라고 봄",3.0
경제경영,9788901248684,내용은 흥미롭지만 번역이 매끄럽지 않은 듯합니다.,2.0
경제경영,9788901248684,"구매자로서 총평- 행동경제학을 열었다는 데서 별 5개 만점입니다- 내용 안에 진주가 있으나, 서사가 너무너무 긴 것 같아요- 오타가 너무 많아요 (검수 안 했나 싶을정도로..)- 번역이 전체적으로 매끄럽지 않아요꼭 읽어보세요! 도서관에서!",4.0
경제경영,9788901248684,여러분으 돈은 소중합니다..꼭 미리 읽어보고 구입하시길 바랍니다..,1.0
경제경영,9788901259307,"평소에 ‘부읽남‘님의 유튜브를 즐겨보는 애청자라 바로 예약신청해서 읽고 있습니다.이 책을 읽고 바로 부자가 되지는 않겠지만, 자본주의 사회에서 최소한 벼락거지가 되지 않는마인드를 갖게 하는 책입니다. 인생을 바꾸고 싶다면 생각을 바꾸기 위한 첫출발로 이 책을 추천합니다.",5.0
경제경영,9788901259307,부동산 입문에 좋은 책. 정보도 좋고 전반적인 부동산 흐름에 대해 이해할 수 있었음. 현실적인 잔소리가 쓰게 느껴져서 내가 많이 변해야겠다는걸 느끼게 해줌,4.0
경제경영,9788901259307,받자마자 속독으로 1회 읽은 상황입니다. 2시간 정도에 다읽어 내려갔고 저에게 정말 좋은 정보였습니다! 마인드가 95%라... 맞장구쳐지게되었습니다! 이제 한번 더 정독하면서 중간중간에 필요한 계산들 한번씩 해보면서 제것으로 만들겠습니다.,5.0
경제경영,9788901259307,입문서 여러 책을 봤는데 이 책은 정석같은 책이에요 입문자에게 필요한 거의 모든 것을 담아내기 위해 애쓰신 게 느껴져요 정말 친절한 책 감사합니다,5.0
경제경영,9788901259307,부동산에 대한 지식이 전무한 상태에서 부읽남님의 책을 처음 읽게됐는데 굉장히 큰 도움을 받았습니다. 기본적인 용어부터 투자 관련 마인드까지 확립받을 수 있었네요 ㅎㅎ,5.0
경제경영,9788901259307,"부동산에 입문하기에 정말 좋습니다. 책이 깔끔하고 군더더기 없어요. 쓸떼없이 글이 길지 않고, 핵심만 들어있습니다. 적절한 예시로 이해도 잘 됐어요. 다음 실전편도 구매하려고요.",5.0
경제경영,9788901259314,"조금 일찍 ‘부읽남‘님의 유튜브를 접했더라면, 부자의 길에 조금 더 가까이 갈 수 있었을텐데 아쉽습니다.컨텐츠도 좋지만 연예인 못지않은 외모라 유튜브에서도 몰입도가 높은데, 글도 잘 쓰셔서 투자마인드를 세우는데 많은 도움이 될 것 같습니다. 투자의 멘토를 원하시는 분께 적극 추천합니다.",5.0
경제경영,9788901259314,"부동산 공부를 시작한 지 얼마 되지않은 부린이지만,,,,,,,,,유튜브 명성에 비해선,,내용이 다소 개략적인 것 같습니다...상세한 투자 설명보다는 개요 느낌의 내용입니다...",3.0
경제경영,9788901260679,"나에게 꼭 필요한 개념이다. 넛지, 선택 설계, 큐레이션, 《톰 소여의 모험》을 쓴 작가 마크 트웨인이 말한 ‘일‘과 ‘놀이‘의 차이, 펀 이론 등등.. 일을 놀이로! 어째 내가 하다보면 놀이가 일이 되는 경우가 많기 때문에 특별히 이 책을 가까이 두고 노력.. 노력 노오력! 이 봐 이 봐 이봐바.. ㅋ",5.0
경제경영,9788901260679,"설득하려는 사람과 숨겨진 반발심을 이겨내는 방식에 대한 이야기. 넛지하다. 저자의 파이널 에디션을 내게 된 사연에 빵 터졌다. 이 책을 읽으며, 문장이 점점 길어진 공공의 안내 현수막들이 생각났다. 불필요하게 길다. 공공기관에게 필요한 넛지!",5.0
경제경영,9788901260679,"책 내용은 정말 훌륭합니다. 근데, 책 내용 중에 ‘스마트 공개‘라는 개념이 있습니다. 번역이 되면서 스마트 공개가 잘 안 된 사례중 하나같네요..",5.0
경제경영,9788901260679,번역은 이게 최선이었을까. . . . ?,1.0
경제경영,9788901265506,리뷰없음,0.0
경제경영,9788901266091,중간 정도 읽었는데 배울 점이 많네요재밌게 잘 읽고 있습니다(그리고 별게로 빠른 배송 너무 감사드립다. 하루 이틀 늦어도 괜찮습니다 수고하세요!),5.0
경제경영,9788901268095,경제 무식자에게도 재밌는 책입니다,5.0
경제경영,9788901268880,쉽게 써있다는 점에서 .. 나름 이 책은 강점이다. 그런데 범위가 너무 넓은 것은 살짝 아쉬움이 든다. 수도권 위주로 했으면 어떠했을까.. 하는 개인적인 아쉬움이,4.0
경제경영,9788901268880,"두려웠던 재개발 재건축 임장 이 책으로 첫발을 내딛었습니다~무작정 시작한 공부 임장에 두려움 진와이스작가님의 책을 읽고 도전할수 있게됐고어렵다고 느껴졌던 부동산공부도 즐겁게 하고 있습니다재개발,재건축이 어렵게만 느껴졌는데 쉽게 볼수 있어 너무 좋아요^^",5.0
경제경영,9788901268880,실전에서 필요한 내용이 꼼꼼히 들어있어요,5.0
경제경영,9788901268880,"진와이스님의 책을 3단어로 요약하자면 ˝진심˝, ˝사랑˝, ˝축복˝입니다. 이 책을 읽으면서 느낀 건 정말 진와이스님게서 진심어린 마음과 사랑을 담아 이 책을 섰다는 것입니다. 이 책을 읽게 된 저와 여러분은 정말 축복받은 것이라고 생각합니다! 정말 쉽고 재미있게 써주셔서 진심으로 감사합니다♥",5.0
경제경영,9788901268880,"읽으면 읽을수록..와..이런 노하우까지 공개해도 되나?정말 나만 알고싶은? 꿀팁들이 들어 있었다.그리고 지금 이 책에 관심이 있을 무주택, 1주택, 다주택자들에 대한 투자 접근법까지 모두 수록 되어있다.그야말로 재개발, 재건축을 통한 재테크 전문 서적으로 비전,절기가 가득",5.0
경제경영,9788901268880,재개발과 재건축에 관심있어 샀어요 많은 도움되길 바래요,5.0
경제경영,9788901268880,재개발 재건축 투자를 원하시는 분은 일단 보세요,5.0
경제경영,9788901268880,우연히 진와이스님을 알게되어서 구매하게되었습니다. 책 잘 구매안하고 도서관에서 잘 빌려보는데이책은 사야겠다는 생각이 마구마구 들었어요! 현재 직장과의 거리가 1시간 30분이라서 힘듭니다. 언젠가는 서울 입성을 목표로 책 열심히 읽고 공부 열심히해서 서울 시민권 따고싶습니다.,5.0
경제경영,9788901275147,리뷰없음,0.0
경제경영,9788901279282,"투자를 시작하기 위해 6개월간 40여 권의 책을 읽었다. 채권, 달러, 주식, 선물, 옵션, 퀀트, ETF 등 모든 투자를 살펴보았다. 그중 최고의 투자 방법이 [유목민의 투자의 정석] 안에 있다.",5.0
경제경영,9788901279282,주식을 하려면 적어도 이책과 유목민의 전작은 읽고해야한다. 초보부터 고수까지 인생을 바꿔줄수있는 책이라고 자신있게 말할수있다. 너무 좋은 책이라 나만보고 싶다.,5.0
경제경영,9788901279282,투자의 기초부터 마인드까지 잘 잡아주고 경제의 큰 흐름을 공부할 수 있게 해주었습니다.,5.0
경제경영,9788901279282,사랑하는 사람에게 선물해야될 책. 수많은 초보투자자들과 새벽수업하며 현실적인 난관에 부딪힐때마다 각 상황과 시황에 대응할 수 있는 원리와 방법을 멘토링하며 집대성한책이예요. 초보와 수익이 나지 않는 분들이 처음부터 차근차근 스스로를 수익나는 삶으로 성장시킬 교과서같은 책입니다 최고!,5.0
경제경영,9788901279282,설에 읽으려고 주문했는데 빨리와서 좋아요,5.0
경제경영,9788901279282,진짜 별 내용없이 페이지만 늘린 책,1.0
경제경영,9788901280424,리뷰없음,0.0
경제경영,9788901285177,"전통 경제학 이론과 어긋나고, 어찌보면 이상하다고까지 할 수 있는 최근 몇 년간의 세계경제와 국제관계를 설득력 있게 잘 설명한 책입니다..",5.0
경제경영,9788901287157,리뷰없음,0.0
경제경영,9788901289854,리뷰없음,0.0
경제경영,9788901290003,리뷰없음,0.0
경제경영,9788919205013,다른 사람들은 이책을 몰랐으면 좋겠다,5.0
경제경영,9788919205013,돈 버는 방법을 자세히 일러주진 않는다. 하지만 보다 더 중요한 걸 얘기한다.,5.0
경제경영,9788919205013,좋은 책입니다. 물론 책이 나온지 20년이 넘은지라 뒷부분의 실천편에서는 현재와는 맞지않는 부분이 많지만 지금 나오고 무수한 재테크책들의 원형으로 그 가치는 바래지 않는듯 합니다,4.0
경제경영,9788919205013,돈을 알아야 돈을 벌수 있다,5.0
경제경영,9788919205013,보도 섀퍼의 돈에 대한 철학을 공유할 수 있는 멋진 책입니다.,5.0
경제경영,9788919205013,그저 돈에 관한 이야기가 아니고 세상을 사는 건강한 마인드에 관한 얘기라 돈얘기 안좋아하시는 분들도 추천해요,5.0
경제경영,9788919205013,반성했다. 회사일을 열심히 하기로 다짐했다.,3.0
경제경영,9788919205013,재테크를 하신다면 한번 읽어봐야할 책!!,5.0
경제경영,9788919205013,돈의 경제적 관념을 위한 기본서!,4.0
경제경영,9788919205013,"왜 돈을 벌어야하고 왜 돈이 필요한가??
이책을보면 답이 나와있다. 또한 방법도있다",5.0
경제경영,9788919205013,거대힌 부를 가진 사람이 쓴 책 치고 참 없어 뵈는 표지만으로도 돈은 무조건 아끼고 봐야 한다는 걸 알려준다,5.0
경제경영,9788919205013,재미있게 본 책.,5.0
경제경영,9788919205013,돈을 벌수 있는 방법만이 아니라돈을 대하는 자세와 가치관을 갖춰주는 책기발하거나 새로운 내용은 아니지만올바른 가치관 정립에 도움이 된다,3.0
경제경영,9788919205013,재테크 책의 원조라고 할 수 있는 책! 돈을 모으기 위해 어떤 생활 습관을 가져야 하는지 조목조목 친절하게 짚어 줍니다.,5.0
경제경영,9788919205013,나혼자 알고싶다. 돈돈돈.,5.0
경제경영,9788919205013,"앞부분은 마음가짐을 다지기위한 글이고, 뒷부분은 실전! 실천하는 재미도 쏠쏠하네요",4.0
경제경영,9788919205013,한번쯤은 읽어봐야 할 책,5.0
경제경영,9788919205013,신혼여행 가서 이책을 읽었다면 이책의 재미가 어느정도인지 아시겠죠!!,5.0
경제경영,9788919205013,두가지 길 가운데 선택하라,5.0
경제경영,9788919205013,"아, 감히 최고라 말할 수 있다.",5.0
경제경영,9788919205013,"좋은 내용도 많지만 비현실적인 부분도 있음돈에 대한 신념, 사고방식, 저축의 중요성, 본인 인생에 대한 책임등 돈에 대한 철학은 좋음중후반부에 투자 수익율 12%~20%를 당연하듯이 얘기함.",3.0
경제경영,9788919205013,돈에 대한 선입견과 고정마인드를 깨주는 책이었습니다. 돈공부 하시려면 이 책부터 읽으시길.,5.0
경제경영,9788919205013,최근 읽었던 부에 관한 책 중 가장 마음에 드는 책으로 실천할 것도 많고 지금 당장 교정해야 할 부분들이 눈에 보여서 참 좋았습니다.,5.0
경제경영,9788919205013,"아,,,참,,,,,,정말 많이 반성하고 참 많이 배웠습니다...어떤 책을 읽던지 책을 읽는 시간은 늘 아깝지 않았지만, 이 책은.......... 읽었다는 그 자체가 너무나 제 자신에게 감사합니다.....",5.0
경제경영,9788919205013,반성을 많이 하게 하는 책입니다 자세한 방법보다는 돈을 바라보는 눈(신념)이랄까...,5.0
경제경영,9788919205013,"볼만한 책이라고 생각합니다. 보도섀퍼의 말대로 버는돈의 모든 돈을 빚갚는데 쓰지말고 남는돈의 50%만 빚 갚는데 쓰고, 50%는 돈을 불리는데 쓰는게 좋다고 얘기하는데 제가볼때도 빚을 다 갚는다고 도움이 되는게 아니니 남는돈의 50%만 빚 갚고,50%는 투자해서 불리는게 낫다는 생각이 드네요",5.0
경제경영,9788919205013,이 책을 읽고 실천 하는 사람은 바뀔 것이다.이 책을 읽기만 하는 사람은 과거에도 그러 했듯이 현재도 그러하듯이 미래도 그러 할 것이다.,5.0
경제경영,9788919205013,머리가 띵해지는 철학,5.0
경제경영,9788919205013,참나... 알라딘에서도 리뷰 관리하나보네.리뷰를 솔직하게 쓰면 안 되는 건가?이 책은 경제서도 아니고 돈에 관련된 책도 아니고 그냥 헛소리 지껄여 놓은 책에 불과.10년 만에 이런 책은 처음 읽어봄.살다살다 이렇게 돈 아까운 책은 처음...,1.0
경제경영,9788919205013,돈맹에게 강추,5.0
경제경영,9788919205013,전체 하고싶은 얘기는 알겠는데요즘 금리랑 너무 동떨어진 얘기를 하고있어서지금 읽기엔 아닌 것 같습니다,1.0
경제경영,9788919205013,내가 열심히 일하는 것이 틀린 게 아니었다는 걸 깨달았다. 다만 내 돈에 대한 생각을 바꾸어야 한다는 걸 깨닫 게 해주었다.,5.0
경제경영,9788919205013,저는 그저그랬어요..,3.0
경제경영,9788919205013,돈에 대한 스스로의 잘못된 신념을 다시 한번 돌아보게 해주는 책이다. 시간이 흘러도 변하지 않는 것이 있기 때문에 이 책이 계속 읽히는 게 아닐까,5.0
경제경영,9788919205013,돈을 벌려면 어떻게 해야 되는지 상세히 설명 해놓은 책이다. 많은 도움이 되었다.,4.0
경제경영,9788919205013,"돈으로 부터 자유를 얻는 길은 쉽지 않지만, 경제적인 문제에 매여 사는 인생은 훨씬 더 고단하다",5.0
경제경영,9788925536927,"세상에, 구판이랑 개정판이랑 원서랑 비교해봤는데, 본문 중간중간에 여럿 들어가 있는 부의 법칙(Wealth Principle)이 싹 빠져있네요? 별책 부록인 부자 매뉴얼에 있을까 싶어서 봤는데 거기에도 없네요? 그렇게 많은 양도 아닌데 도대체 왜 뺐나요? 개정판이 세련되긴 합니다만, 구판이 낫네요.",1.0
경제경영,9788925536927,배울 게 정말 많은 책이었다. 이 분야의 베스트셀러라고 불리는 이유가 있구나! 이런 책은 한 번만 읽어선 안 된다는 걸 새삼 느끼게 했다.,5.0
경제경영,9788925536927,내인생을 바꿔준 책. 도움이 많이든책 부모탓을 하는개 아니라 부모의 영형 생각을 많이 받아서 안좋은 그런습관들이있단걸 알게됨 정말 고맙다,5.0
경제경영,9788925536927,마음을 치유해주는 인생책,5.0
