구분,ISBN13,review_content,rating
자기계발,9788901092942,착하다는 것이 사실은 강한자들의 먹이라는 것... 사실이고 현실 입니다. 강추합,5.0
자기계발,9788901092942,"권력을 원하는가, 그렇다면 이 책을 절대 경쟁자가 볼 수 없게하라.",5.0
자기계발,9788901092942,책의 두께만큼이나 상세한 권력에 관한 모든것의 집대성,5.0
자기계발,9788901092942,공감을 많이 하면서 읽은 책입니다~~추천합니다~,5.0
자기계발,9788901092942,권력의 법칙 ㅋ 각오해라 너에게 내가 원하는 것이 많노라 ^^,5.0
자기계발,9788901092942,"권력의, 권력에 의한, 권력을 위한 책! 당장 집어들라! 아니면 뒤쳐질 자신을 보던가",5.0
자기계발,9788901092942,"이렇게 권력의 기원과 속성, 사용 범례를 .. 잘 알려주는 책이 있을까.",5.0
자기계발,9788901092942,"2년전에 읽은 책이지만 아직도 주요 내용은 내 머릿속에서 남아있고, 실생활의 처세에 많은 도움을 주고있다.",4.0
자기계발,9788901092942,착하게 사는게 좋다는 내 사고를 완전히 바꿔버린책! 누구에게도 권하고싶지 않은책!,5.0
자기계발,9788901092942,"트럼프의 책이나 협상 분야 또는, 동양 고전을 읽은 분에게는 추천 못하겠어요..어디에서 읽었던 것 같은 기시감이 너무 커요.(다른 책이 다뤄서 진부해진 얘기들..그러나 자기 언어로 풀어낸 것은 인정..)그렇다고 책이 익숙하지 않은 사람이 읽자니 분량이 많고.쫌.. 많이 애매한 책이에요.",1.0
자기계발,9788901092942,"명확한 주제, 삼단논법의 결론, 좌우의 주석같은 예시. 주제를 뒷받쳐주는 수많은 인용들을 보고나면 마치 여러권의 책을 읽은 것 같다.",5.0
자기계발,9788901092942,"반값 할인해서 권력의 법칙이랑 2권 샀는데, 통렬한 서체가 독자로 하여금 자극을 받게 해주네요. 지인에게 소개해 주고 싶지 않은 책 중에 하나입니다.",4.0
자기계발,9788901092942,우연한기회에 접하게 되어 읽게 되었는데 친한분이 선거에 나가셔서 선물을 해드렸다.,4.0
자기계발,9788901127613,리뷰없음,0.0
자기계발,9788901152257,이 세상이 유혹자로 가득 차기를! 사춘기 소년소녀부터 백세 노인까지 다 읽고 실험해야 할 책이다. 유혹의 대상을 찾아 유혹하고 유혹당하는 끝없는 쾌락을 누릴지어다. 이 책을 청소년 권장도서로 추천하는 사회는 자유로운 사회이다.,5.0
자기계발,9788901152257,정말 흥미진진하게 읽은 책입니다~~한번은 꼭 읽을만 한 거 같아요~~,5.0
자기계발,9788901152257,"방대한 자료를 찾아 헤맨 저자의 노고가 드러나는 책입니다. 다만 여기 저기서 끌어온 내용으로만 이야기를 끌고 나간다는 느낌이 많고, 표현만 바꾸어 같은 내용을 반복하고 있는 부분도 조금 있습니다. 그래도 나름 최대한으로 세세한 체계를 세워 유혹자의 특징과 사례를 든 것은 훌륭하다고 봅니다",4.0
자기계발,9788901152257,"그래, 사실 중요한건 유혹이 아니었나 싶다. 결국은 사람이 중요한거고 사람은 유혹으로 얻어진다. 유혹의 정석이라 불릴만한 책이다",4.0
자기계발,9788901152257,유혹하는 사람의 유형에 대해 나누고 설명해놓았는데 주위에서도 찾을수 있어 흥미롭고 재미났음,4.0
자기계발,9788901152257,이 책의 포인트는 정확한 예시이다. 아무리 이론이 어려워도 적절한 예시로 이해하기 쉽게 설명하는 로버트 그린이 능력이 대단하다,5.0
자기계발,9788901152257,내용이 심도있네요. ㅊㅊ,4.0
자기계발,9788901152257,로버트그린은 책을 왜이리 두껍게 쓰는지 모르겟네요..책이 두꺼우면 책값이 비싸져서 그러는가? 심심풀이로 읽는책,1.0
자기계발,9788901152257,seduction 세계로의 흥미진진한 여행. 다른저작들처럼 만족스럽게 읽을 수 있다.,5.0
자기계발,9788901152257,유혹이라는 게임의 공격과 방어의 기술,5.0
자기계발,9788901152257,"책은 그냥 목차만 읽어도 될 듯 해요....로버트 그린은 1페이지를 10페이지로 글 쓰는 법을책으로 내어야 할 것 같아요..사례, 가십, 이야기가 매우 많아요. 이런거 좋아하는 분은 재미있을 듯 해요.",1.0
